universe_id,target,logm_mean,logm_std,logm_min,logm_max,logm_median,x_std,y_std,z_std,position_spread,vx_mean,vy_mean,vz_mean,vx_std,vy_std,vz_std,velocity_spread,velocity_norm_mean,velocity_norm_std
LH_319,0.4986000061035156,0.1949238,0.19681346,0.0,1.0,0.12703681,0.33710155,0.23378722,0.37275437,0.31454775,0.4709597,0.4040555,0.64554906,0.16056208,0.1547093,0.18558982,0.16695373,0.9302963,0.1431963
LH_320,0.48820000886917114,0.25228143,0.2366181,0.0,1.0,0.16476059,0.32261083,0.2927871,0.27566853,0.29702213,0.52461725,0.48181647,0.5380239,0.18603249,0.19337007,0.21975563,0.19971941,0.9388785,0.18878499
LH_321,0.36500000953674316,0.18430841,0.2023027,0.0,1.0,0.13053337,0.29098645,0.30260375,0.25179192,0.28179404,0.45069325,0.57073444,0.3582074,0.13375455,0.16771306,0.15719555,0.15288772,0.8358581,0.17101
LH_322,0.10499999672174454,0.2863697,0.23653607,0.0,1.0,0.19816704,0.22088696,0.323557,0.2747541,0.273066,0.44227067,0.5812437,0.62181234,0.1694662,0.19480008,0.20043191,0.18823273,0.9948637,0.19282964
LH_323,0.45660001039505005,0.23568903,0.205009,0.0,1.0,0.18261659,0.29689088,0.34432587,0.2948529,0.31202322,0.5274629,0.38622224,0.5364673,0.1442849,0.14052221,0.14827143,0.14435953,0.871175,0.13705863
LH_324,0.11860000342130661,0.24520896,0.21706948,0.0,1.0,0.17750385,0.2748246,0.29300594,0.24963094,0.27248716,0.45289326,0.5888453,0.51539916,0.19264391,0.20016837,0.20889854,0.20057029,0.9501481,0.18847732
LH_325,0.11140000075101852,0.24865116,0.22054459,0.0,1.0,0.17578317,0.23407182,0.24539576,0.25255713,0.24400826,0.4333972,0.50069344,0.42419013,0.16112119,0.17858033,0.17197028,0.17055726,0.81878436,0.18836558
LH_326,0.1881999969482422,0.18590343,0.18320091,0.0,1.0,0.11905532,0.26678833,0.20113108,0.30344123,0.25712022,0.48330727,0.41590625,0.66277343,0.18296468,0.20656946,0.13706636,0.17553349,0.9551346,0.16877377
LH_327,0.15060000121593475,0.19870481,0.18650152,0.0,1.0,0.15950967,0.2870761,0.3266789,0.27764705,0.297134,0.43820345,0.63071,0.53510904,0.17867428,0.15568,0.20783797,0.18073076,0.9703891,0.18401487
LH_328,0.2529999911785126,0.22385405,0.20110983,0.0,1.0,0.16741168,0.29247853,0.30646002,0.26893893,0.28929248,0.4384718,0.65111923,0.24309812,0.21043472,0.14566265,0.13803291,0.16471009,0.85662544,0.16142122
LH_329,0.20499999821186066,0.23749802,0.22646122,0.0,1.0,0.161248,0.2706364,0.29886478,0.27242547,0.2806422,0.54528725,0.5830091,0.5173604,0.17859231,0.21850671,0.17060995,0.18923633,0.98966306,0.1849724
LH_330,0.4758000075817108,0.19294079,0.20038374,0.0,1.0,0.12319373,0.2592123,0.33588195,0.314692,0.30326208,0.5241466,0.5574324,0.51340765,0.15807258,0.16723417,0.14929765,0.15820146,0.94905066,0.15360637
LH_331,0.45899999141693115,0.23229676,0.22990134,0.0,1.0,0.1589891,0.25408253,0.26272812,0.35362783,0.29014614,0.66227114,0.47665802,0.6113675,0.142226,0.125625,0.20543513,0.15776205,1.0467994,0.14832695
LH_332,0.3353999853134155,0.21798994,0.21935512,0.0,1.0,0.15566456,0.29658502,0.23267506,0.27387628,0.2677121,0.3123212,0.5827739,0.5456522,0.12263443,0.16696121,0.1369937,0.14219646,0.8804805,0.14609203
LH_333,0.4641999900341034,0.24142334,0.20335303,0.0,1.0,0.17794865,0.25795543,0.30262658,0.34096462,0.30051556,0.4150899,0.5542479,0.48663104,0.14625522,0.118926674,0.18275176,0.1493112,0.8723269,0.15581489
LH_334,0.1597999930381775,0.16823529,0.16128038,0.0,1.0,0.12620126,0.24332638,0.2799527,0.34944376,0.29090762,0.560232,0.46595946,0.38391006,0.17475112,0.18025365,0.16997615,0.17499363,0.85841095,0.18280312
LH_335,0.22579999268054962,0.22953741,0.21377866,0.0,1.0,0.15951517,0.25923952,0.29126614,0.28385952,0.27812174,0.48376358,0.4762113,0.36402416,0.19252461,0.14539456,0.15809828,0.16533916,0.800945,0.1870975
LH_336,0.31139999628067017,0.21678469,0.22407472,0.0,1.0,0.13324942,0.25315547,0.32256058,0.25090083,0.27553895,0.4808559,0.71497315,0.6215392,0.21202971,0.14977895,0.16242395,0.1747442,1.0944403,0.15713748
LH_337,0.34860000014305115,0.204837,0.19785088,0.0,1.0,0.15266874,0.278449,0.31320012,0.27047318,0.2873741,0.620293,0.5005204,0.6090226,0.12613423,0.16513918,0.18383937,0.15837093,1.0300152,0.14912704
LH_338,0.2401999980211258,0.19662617,0.1858307,0.0,1.0,0.13202682,0.26249954,0.30873567,0.24632864,0.2725213,0.6097106,0.3326325,0.4246728,0.12607524,0.12826723,0.19374873,0.14936374,0.8436596,0.14444004
LH_339,0.13619999587535858,0.26905626,0.2334268,0.0,1.0,0.20484626,0.33069742,0.3130808,0.23984733,0.29454184,0.33357227,0.4062247,0.4973845,0.14088374,0.13853276,0.20797318,0.16246323,0.75583357,0.18624794
LH_340,0.125,0.2178961,0.19741891,0.0,1.0,0.1691121,0.3180509,0.2857675,0.24693532,0.2835846,0.46817765,0.6488201,0.39254963,0.1843736,0.1830558,0.15705131,0.1748269,0.9269984,0.16460627
LH_341,0.26339998841285706,0.2114518,0.18469562,0.0,1.0,0.16000634,0.2514962,0.19623515,0.27945843,0.2423966,0.41918248,0.47241035,0.58096004,0.13598132,0.19495475,0.13629827,0.15574479,0.8889967,0.14546645
LH_342,0.10939999669790268,0.23540913,0.21537666,0.0,1.0,0.17201683,0.30889127,0.3338512,0.2905727,0.31110504,0.55103004,0.5868801,0.54055506,0.19477248,0.18229832,0.2244341,0.20050162,1.0116115,0.19607098
