model,k,seed,target,prediction,residual,plotted_y,test_mae,test_rmse,test_r2,test_pearson
EvolveGCN-H,4,123,0.11020000278949738,0.29794996976852417,0.1877499669790268,0.1877499669790268,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.2766000032424927,0.2710963487625122,-0.005503654479980469,-0.005503654479980469,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.4758000075817108,0.3067046105861664,-0.16909539699554443,-0.16909539699554443,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.17579999566078186,0.3091905415058136,0.13339054584503174,0.13339054584503174,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.4918000102043152,0.2812718451023102,-0.210528165102005,-0.210528165102005,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.12020000070333481,0.31538063287734985,0.19518063217401505,0.19518063217401505,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.3601999878883362,0.29982200264930725,-0.06037798523902893,-0.06037798523902893,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.29820001125335693,0.28101617097854614,-0.01718384027481079,-0.01718384027481079,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.20739999413490295,0.3085624873638153,0.10116249322891235,0.10116249322891235,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.3529999852180481,0.29324156045913696,-0.05975842475891113,-0.05975842475891113,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.15060000121593475,0.3028821349143982,0.15228213369846344,0.15228213369846344,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.10859999805688858,0.29629653692245483,0.18769653886556625,0.18769653886556625,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.4625999927520752,0.28506866097450256,-0.17753133177757263,-0.17753133177757263,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.2754000127315521,0.28649941086769104,0.011099398136138916,0.011099398136138916,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.19419999420642853,0.3141067922115326,0.11990679800510406,0.11990679800510406,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.40779998898506165,0.30414170026779175,-0.1036582887172699,-0.1036582887172699,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.11940000206232071,0.3034103810787201,0.18401037901639938,0.18401037901639938,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.38499999046325684,0.2898637354373932,-0.09513625502586365,-0.09513625502586365,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.16699999570846558,0.2949046194553375,0.12790462374687195,0.12790462374687195,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.27619999647140503,0.3172362148761749,0.0410362184047699,0.0410362184047699,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.4578000009059906,0.2962143123149872,-0.16158568859100342,-0.16158568859100342,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.4941999912261963,0.29538220167160034,-0.19881778955459595,-0.19881778955459595,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.24379999935626984,0.28086408972740173,0.0370640903711319,0.0370640903711319,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.10700000077486038,0.30917102098464966,0.20217102020978928,0.20217102020978928,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.18979999423027039,0.30787214636802673,0.11807215213775635,0.11807215213775635,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.2978000044822693,0.30779755115509033,0.009997546672821045,0.009997546672821045,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.35339999198913574,0.30010029673576355,-0.05329969525337219,-0.05329969525337219,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.10899999737739563,0.2962668240070343,0.18726682662963867,0.18726682662963867,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.16019999980926514,0.27555057406425476,0.11535057425498962,0.11535057425498962,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.29019999504089355,0.2964983284473419,0.006298333406448364,0.006298333406448364,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.17739999294281006,0.2873779237270355,0.10997793078422546,0.10997793078422546,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.2101999968290329,0.31673744320869446,0.10653744637966156,0.10653744637966156,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.26339998841285706,0.2984432578086853,0.03504326939582825,0.03504326939582825,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.4189999997615814,0.27529528737068176,-0.14370471239089966,-0.14370471239089966,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.1738000065088272,0.2973691523075104,0.12356914579868317,0.12356914579868317,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.4138000011444092,0.28395557403564453,-0.12984442710876465,-0.12984442710876465,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.11500000208616257,0.30947014689445496,0.1944701448082924,0.1944701448082924,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.3693999946117401,0.32071223855018616,-0.048687756061553955,-0.048687756061553955,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.10419999808073044,0.31772491335868835,0.21352491527795792,0.21352491527795792,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.23980000615119934,0.29781296849250793,0.058012962341308594,0.058012962341308594,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.272599995136261,0.2819003760814667,0.009300380945205688,0.009300380945205688,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.38420000672340393,0.2985481917858124,-0.08565181493759155,-0.08565181493759155,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.4569999873638153,0.27933740615844727,-0.17766258120536804,-0.17766258120536804,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.41620001196861267,0.29152482748031616,-0.12467518448829651,-0.12467518448829651,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.2770000100135803,0.2871316373348236,0.010131627321243286,0.010131627321243286,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.3578000068664551,0.260600745677948,-0.09719926118850708,-0.09719926118850708,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.4406000077724457,0.29656028747558594,-0.14403972029685974,-0.14403972029685974,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.3418000042438507,0.2990860641002655,-0.042713940143585205,-0.042713940143585205,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.1462000012397766,0.2925235331058502,0.1463235318660736,0.1463235318660736,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.3357999920845032,0.2721249461174011,-0.06367504596710205,-0.06367504596710205,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.41019999980926514,0.3016650974750519,-0.10853490233421326,-0.10853490233421326,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.24500000476837158,0.2873295545578003,0.04232954978942871,0.04232954978942871,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.19820000231266022,0.2646998465061188,0.06649984419345856,0.06649984419345856,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.46459999680519104,0.3003488779067993,-0.16425111889839172,-0.16425111889839172,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.3901999890804291,0.2908029854297638,-0.09939700365066528,-0.09939700365066528,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.241799995303154,0.29704049229621887,0.05524049699306488,0.05524049699306488,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.32339999079704285,0.3054654598236084,-0.017934530973434448,-0.017934530973434448,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.23819999396800995,0.3033730983734131,0.06517310440540314,0.06517310440540314,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.4729999899864197,0.3092564642429352,-0.1637435257434845,-0.1637435257434845,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.4302000105381012,0.2829063832759857,-0.14729362726211548,-0.14729362726211548,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.35580000281333923,0.3031824827194214,-0.05261752009391785,-0.05261752009391785,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.43059998750686646,0.3001198470592499,-0.13048014044761658,-0.13048014044761658,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.2750000059604645,0.27717408537864685,0.002174079418182373,0.002174079418182373,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.41499999165534973,0.3030526340007782,-0.11194735765457153,-0.11194735765457153,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.3061999976634979,0.3023558557033539,-0.003844141960144043,-0.003844141960144043,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.22059999406337738,0.2816721796989441,0.06107218563556671,0.06107218563556671,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.4410000145435333,0.29517602920532227,-0.14582398533821106,-0.14582398533821106,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.34540000557899475,0.32550936937332153,-0.019890636205673218,-0.019890636205673218,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.19020000100135803,0.29398873448371887,0.10378873348236084,0.10378873348236084,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.20340000092983246,0.2734629213809967,0.07006292045116425,0.07006292045116425,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.2937999963760376,0.30606064200401306,0.012260645627975464,0.012260645627975464,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.2502000033855438,0.27889737486839294,0.02869737148284912,0.02869737148284912,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.2962000072002411,0.30658474564552307,0.010384738445281982,0.010384738445281982,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.3709999918937683,0.3301524221897125,-0.040847569704055786,-0.040847569704055786,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
EvolveGCN-H,4,123,0.17980000376701355,0.29505762457847595,0.1152576208114624,0.1152576208114624,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139
Static GCN,4,123,0.11020000278949738,0.3008320927619934,0.19063208997249603,0.19063208997249603,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.2766000032424927,0.28403452038764954,0.00743451714515686,0.00743451714515686,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.4758000075817108,0.3008320927619934,-0.1749679148197174,-0.1749679148197174,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.17579999566078186,0.2815167307853699,0.10571673512458801,0.10571673512458801,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.4918000102043152,0.2889653444290161,-0.20283466577529907,-0.20283466577529907,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.12020000070333481,0.3008320927619934,0.1806320920586586,0.1806320920586586,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.3601999878883362,0.3008320927619934,-0.05936789512634277,-0.05936789512634277,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.29820001125335693,0.3008320927619934,0.0026320815086364746,0.0026320815086364746,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.20739999413490295,0.3008320927619934,0.09343209862709045,0.09343209862709045,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
