model,k,sample_standard_deviation_test_mae
EvolveGCN-H,4,0.011783112047831881
EvolveGCN-H,6,0.009885806393812296
EvolveGCN-H,8,0.009953557220221036
EvolveGCN-H,12,0.011608940869149108
Static GCN,4,0.010579745476428072
Static GCN,6,0.009289287541394981
Static GCN,8,0.009143633177109978
Static GCN,12,0.0103854966901317
