epoch,train_mse,val_mse,best_val_mse,best_epoch,learning_rate
1,50.98194844821468,0.03471037447452545,0.03471037447452545,1,0.001
2,0.03711750766262412,0.013504206240177154,0.013504206240177154,2,0.001
3,0.02696216602676681,0.031860385239124295,0.013504206240177154,2,0.001
4,0.024466960448771714,0.012792235786716143,0.012792235786716143,4,0.001
5,0.02340899353048631,0.013518418309589227,0.012792235786716143,4,0.001
6,0.020498319803071874,0.019092064996560413,0.012792235786716143,4,0.001
7,0.019584454211539457,0.02107097132752339,0.012792235786716143,4,0.001
8,0.01548339309037796,0.018508075897892315,0.012792235786716143,4,0.001
9,0.016781648636928628,0.015177556611597538,0.012792235786716143,4,0.001
10,0.014349239342180745,0.013655421994626523,0.012792235786716143,4,0.001
11,0.013825904551361288,0.012661087773740292,0.012661087773740292,11,0.001
12,0.013684759620311005,0.012663111264506977,0.012661087773740292,11,0.001
13,0.013746890115684697,0.012602364607155324,0.012602364607155324,13,0.001
14,0.01365940913158868,0.012616087210675081,0.012602364607155324,13,0.001
15,0.013675132697182043,0.012591415010392666,0.012591415010392666,15,0.001
16,0.013664078201566423,0.012598148559530576,0.012591415010392666,15,0.001
17,0.013653498132314,0.01259876807530721,0.012591415010392666,15,0.001
18,0.013659584069890636,0.012609935328364373,0.012591415010392666,15,0.001
19,0.013662558579817415,0.0126154508938392,0.012591415010392666,15,0.001
20,0.013667119596752205,0.012622971100111803,0.012591415010392666,15,0.001
21,0.013646105844527483,0.012597748736540477,0.012591415010392666,15,0.001
22,0.013656762455190931,0.012595975672205289,0.012591415010392666,15,0.001
23,0.013678657559877528,0.012600748849411805,0.012591415010392666,15,0.001
24,0.013677116113581828,0.012599135314424833,0.012591415010392666,15,0.001
25,0.013668865075867091,0.01262084232022365,0.012591415010392666,15,0.001
26,0.013658873928444726,0.012619067082802455,0.012591415010392666,15,0.0005
27,0.013635473006537982,0.012624201203385988,0.012591415010392666,15,0.0005
28,0.013631697177354778,0.012603429158528646,0.012591415010392666,15,0.0005
29,0.013630876228479402,0.012607263202468555,0.012591415010392666,15,0.0005
30,0.013632297896380935,0.012613316463927427,0.012591415010392666,15,0.0005
31,0.013632173384539783,0.012608224724729855,0.012591415010392666,15,0.0005
32,0.013640341403494988,0.012609113057454427,0.012591415010392666,15,0.0005
33,0.01364776719893728,0.012610974609851838,0.012591415010392666,15,0.0005
34,0.013638683383220008,0.012613026648759842,0.012591415010392666,15,0.0005
35,0.013639024080309484,0.012611022877196471,0.012591415010392666,15,0.0005
36,0.01363952440608825,0.012607337062557539,0.012591415010392666,15,0.0005
37,0.013655101052884545,0.012597966579099496,0.012591415010392666,15,0.00025
38,0.013626047322260483,0.012598062766095002,0.012591415010392666,15,0.00025
39,0.013634620294240968,0.012608335167169572,0.012591415010392666,15,0.00025
40,0.013641273646748492,0.012598146783808868,0.012591415010392666,15,0.00025
41,0.01363754741847515,0.012606884700556596,0.012591415010392666,15,0.00025
42,0.013630707378366164,0.01260934970031182,0.012591415010392666,15,0.00025
43,0.013627631230545896,0.01260857366025448,0.012591415010392666,15,0.00025
44,0.013632387292704412,0.01261210681249698,0.012591415010392666,15,0.00025
45,0.013626511357724667,0.012606449872255326,0.012591415010392666,15,0.00025
46,0.013641387381191765,0.012605281521876652,0.012591415010392666,15,0.00025
47,0.01362381303283785,0.012613894194364548,0.012591415010392666,15,0.00025
48,0.01363493109654103,0.012608158265550931,0.012591415010392666,15,0.000125
49,0.013626536075025796,0.012612354196608066,0.012591415010392666,15,0.000125
50,0.013626525889017752,0.012610003364582857,0.012591415010392666,15,0.000125
51,0.013623435418786746,0.012610060088336468,0.012591415010392666,15,0.000125
52,0.013623182619256633,0.012613172953327497,0.012591415010392666,15,0.000125
53,0.013623680369595863,0.012612655932704608,0.012591415010392666,15,0.000125
54,0.01362885994770165,0.012613722756505012,0.012591415010392666,15,0.000125
55,0.013627495323973043,0.012604409232735633,0.012591415010392666,15,0.000125
