seed,split_signature,linear_experiment_name,mlp_experiment_name,mae_linear_minus_mlp,rmse_linear_minus_mlp,r2_linear_minus_mlp,prediction_sd_ratio_linear_minus_mlp,repeat_fraction_linear_minus_mlp,mean_paired_mae_difference,sd_paired_mae_difference,median_paired_mae_difference,minimum_paired_mae_difference,maximum_paired_mae_difference,mae_negative_count,mae_zero_count,mae_positive_count,mean_paired_rmse_difference,sd_paired_rmse_difference,median_paired_rmse_difference,minimum_paired_rmse_difference,maximum_paired_rmse_difference,rmse_negative_count,rmse_zero_count,rmse_positive_count,mean_paired_r2_difference,sd_paired_r2_difference,median_paired_r2_difference,minimum_paired_r2_difference,maximum_paired_r2_difference,r2_negative_count,r2_zero_count,r2_positive_count,mean_paired_prediction_sd_ratio_difference,sd_paired_prediction_sd_ratio_difference,median_paired_prediction_sd_ratio_difference,minimum_paired_prediction_sd_ratio_difference,maximum_paired_prediction_sd_ratio_difference,prediction_sd_ratio_negative_count,prediction_sd_ratio_zero_count,prediction_sd_ratio_positive_count,mean_paired_repeat_fraction_difference,sd_paired_repeat_fraction_difference,median_paired_repeat_fraction_difference,minimum_paired_repeat_fraction_difference,maximum_paired_repeat_fraction_difference,repeat_fraction_negative_count,repeat_fraction_zero_count,repeat_fraction_positive_count,mae_seeds_favouring_linear,mae_seeds_favouring_mlp,mae_ties
42,e27e32ef2d9482fbe0719a56555f66075f7a23e178c15848a0227660ea0df7d9,evolvegcn_h_750u_top1000_h32_seed42_none_linear_head,evolvegcn_h_750u_top1000_h32_seed42_none,-0.011466049584583263,-0.011724648777285678,0.10844166094008512,0.13441999103398639,-0.22885572139303484,-0.0055607861992138545,0.005264967929430446,-0.0034656328200107847,-0.011466049584583263,0.0005892990018004779,4,0,1,-0.005684129486770566,0.006821161939533913,-0.0074564662270268645,-0.011724648777285678,0.0049465678944159985,4,0,1,0.05651689215689888,0.07219742617915485,0.08420795083672394,-0.05946487428230529,0.11515901474051249,1,0,4,0.08316650212625096,0.09215145923913635,0.11713252823311548,-0.05118061023818232,0.18165948209501104,1,0,4,-0.061691542288557215,0.09960194034819661,0.0,-0.22885572139303484,0.0,2,3,0,4,1,0
123,bd9367b034a0ac7ebc07fe79c19a62d51f17402cb7e5dba98d1748e5168f72f1,evolvegcn_h_750u_top1000_h32_seed123_none_linear_head,evolvegcn_h_750u_top1000_h32_seed123_none,-0.002790186535659711,-0.0032523400549136217,0.03424070854947814,0.03380111950732423,0.0,-0.0055607861992138545,0.005264967929430446,-0.0034656328200107847,-0.011466049584583263,0.0005892990018004779,4,0,1,-0.005684129486770566,0.006821161939533913,-0.0074564662270268645,-0.011724648777285678,0.0049465678944159985,4,0,1,0.05651689215689888,0.07219742617915485,0.08420795083672394,-0.05946487428230529,0.11515901474051249,1,0,4,0.08316650212625096,0.09215145923913635,0.11713252823311548,-0.05118061023818232,0.18165948209501104,1,0,4,-0.061691542288557215,0.09960194034819661,0.0,-0.22885572139303484,0.0,2,3,0,4,1,0
777,6e71569b7785aa0483b56e359c68bac69e9c997617880855b75fd2bedcd84dae,evolvegcn_h_750u_top1000_h32_seed777_none_linear_head,evolvegcn_h_750u_top1000_h32_seed777_none,0.0005892990018004779,0.0049465678944159985,-0.05946487428230529,0.11713252823311548,-0.07960199004975124,-0.0055607861992138545,0.005264967929430446,-0.0034656328200107847,-0.011466049584583263,0.0005892990018004779,4,0,1,-0.005684129486770566,0.006821161939533913,-0.0074564662270268645,-0.011724648777285678,0.0049465678944159985,4,0,1,0.05651689215689888,0.07219742617915485,0.08420795083672394,-0.05946487428230529,0.11515901474051249,1,0,4,0.08316650212625096,0.09215145923913635,0.11713252823311548,-0.05118061023818232,0.18165948209501104,1,0,4,-0.061691542288557215,0.09960194034819661,0.0,-0.22885572139303484,0.0,2,3,0,4,1,0
999,27af8142ba8da15f65baf969086cca0e3b72e105c29a41ac778d6c702a8cb678,evolvegcn_h_750u_top1000_h32_seed999_none_linear_head,evolvegcn_h_750u_top1000_h32_seed999_none,-0.010671361057615993,-0.010933760269042664,0.11515901474051249,0.18165948209501104,0.0,-0.0055607861992138545,0.005264967929430446,-0.0034656328200107847,-0.011466049584583263,0.0005892990018004779,4,0,1,-0.005684129486770566,0.006821161939533913,-0.0074564662270268645,-0.011724648777285678,0.0049465678944159985,4,0,1,0.05651689215689888,0.07219742617915485,0.08420795083672394,-0.05946487428230529,0.11515901474051249,1,0,4,0.08316650212625096,0.09215145923913635,0.11713252823311548,-0.05118061023818232,0.18165948209501104,1,0,4,-0.061691542288557215,0.09960194034819661,0.0,-0.22885572139303484,0.0,2,3,0,4,1,0
2025,3f80461e5ec26ee906f6c1781f34d40877521ac854d93f1fb09783b18b8d24a7,evolvegcn_h_750u_top1000_h32_seed2025_none_linear_head,evolvegcn_h_750u_top1000_h32_seed2025_none,-0.0034656328200107847,-0.0074564662270268645,0.08420795083672394,-0.05118061023818232,0.0,-0.0055607861992138545,0.005264967929430446,-0.0034656328200107847,-0.011466049584583263,0.0005892990018004779,4,0,1,-0.005684129486770566,0.006821161939533913,-0.0074564662270268645,-0.011724648777285678,0.0049465678944159985,4,0,1,0.05651689215689888,0.07219742617915485,0.08420795083672394,-0.05946487428230529,0.11515901474051249,1,0,4,0.08316650212625096,0.09215145923913635,0.11713252823311548,-0.05118061023818232,0.18165948209501104,1,0,4,-0.061691542288557215,0.09960194034819661,0.0,-0.22885572139303484,0.0,2,3,0,4,1,0
