model,top_n,snapshots_processed_per_universe,nodes_per_snapshot,k,directed_neighbor_selections_per_snapshot,symmetric_adjacency_nonzeros_per_snapshot,dense_adjacency_capacity_per_snapshot,self_loops,padded_nodes,mean_test_mae,wall_time,peak_gpu_memory,peak_cpu_memory,prediction_time
EvolveGCN-H,100,5,100,8,800,800 to 1600,10000,excluded in preprocessing; added by model layers,excluded from neighbor selection,0.09696193625529607,not recorded,not recorded,not recorded,not recorded
EvolveGCN-H,200,5,200,8,1600,1600 to 3200,40000,excluded in preprocessing; added by model layers,excluded from neighbor selection,0.0921737516257498,not recorded,not recorded,not recorded,not recorded
EvolveGCN-H,500,5,500,8,4000,4000 to 8000,250000,excluded in preprocessing; added by model layers,excluded from neighbor selection,0.0861660827199618,not recorded,not recorded,not recorded,not recorded
Static GCN,100,1,100,8,800,800 to 1600,10000,excluded in preprocessing; added by model layers,excluded from neighbor selection,0.09626246078146829,not recorded,not recorded,not recorded,not recorded
Static GCN,200,1,200,8,1600,1600 to 3200,40000,excluded in preprocessing; added by model layers,excluded from neighbor selection,0.09698460972971386,not recorded,not recorded,not recorded,not recorded
Static GCN,500,1,500,8,4000,4000 to 8000,250000,excluded in preprocessing; added by model layers,excluded from neighbor selection,0.09603913661506441,not recorded,not recorded,not recorded,not recorded
