model,topn_pair,larger_top_n,smaller_top_n,seed,split_signature,mae_difference,rmse_difference,r2_difference,prediction_sd_ratio_difference,exact_repeat_fraction_difference,approximate_repeat_fraction_difference,mean_mae_difference,sd_mae_difference,median_mae_difference,minimum_mae_difference,maximum_mae_difference,mean_rmse_difference,sd_rmse_difference,median_rmse_difference,minimum_rmse_difference,maximum_rmse_difference,mean_r2_difference,sd_r2_difference,median_r2_difference,minimum_r2_difference,maximum_r2_difference,mean_prediction_sd_ratio_difference,sd_prediction_sd_ratio_difference,median_prediction_sd_ratio_difference,minimum_prediction_sd_ratio_difference,maximum_prediction_sd_ratio_difference,mean_exact_repeat_fraction_difference,sd_exact_repeat_fraction_difference,median_exact_repeat_fraction_difference,minimum_exact_repeat_fraction_difference,maximum_exact_repeat_fraction_difference,mean_approximate_repeat_fraction_difference,sd_approximate_repeat_fraction_difference,median_approximate_repeat_fraction_difference,minimum_approximate_repeat_fraction_difference,maximum_approximate_repeat_fraction_difference,larger_topn_wins,smaller_topn_wins,ties,interpretation
EvolveGCN-H,Top500_minus_Top100,500,100,42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,-0.005247775117556253,-0.003210187188106464,0.06279778730326024,0.3343401488584162,0.0,0.0,-0.010795853535334266,0.005375549761955122,-0.011159362792968752,-0.015980422695477794,-0.005247775117556253,-0.010393687709335788,0.00683019804531457,-0.011165935259481369,-0.01680494068041953,-0.003210187188106464,0.17365213729650586,0.10299567467773411,0.19177523988805611,0.06279778730326024,0.2663833846982012,0.43120609416132,0.1021092350563054,0.42142362758729696,0.3343401488584162,0.5378545060382468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,negative MAE/RMSE and positive R2 favor larger Top-N
EvolveGCN-H,Top500_minus_Top100,500,100,123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,-0.011159362792968752,-0.011165935259481369,0.19177523988805611,0.42142362758729696,0.0,0.0,-0.010795853535334266,0.005375549761955122,-0.011159362792968752,-0.015980422695477794,-0.005247775117556253,-0.010393687709335788,0.00683019804531457,-0.011165935259481369,-0.01680494068041953,-0.003210187188106464,0.17365213729650586,0.10299567467773411,0.19177523988805611,0.06279778730326024,0.2663833846982012,0.43120609416132,0.1021092350563054,0.42142362758729696,0.3343401488584162,0.5378545060382468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,negative MAE/RMSE and positive R2 favor larger Top-N
EvolveGCN-H,Top500_minus_Top100,500,100,2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,-0.015980422695477794,-0.01680494068041953,0.2663833846982012,0.5378545060382468,0.0,0.0,-0.010795853535334266,0.005375549761955122,-0.011159362792968752,-0.015980422695477794,-0.005247775117556253,-0.010393687709335788,0.00683019804531457,-0.011165935259481369,-0.01680494068041953,-0.003210187188106464,0.17365213729650586,0.10299567467773411,0.19177523988805611,0.06279778730326024,0.2663833846982012,0.43120609416132,0.1021092350563054,0.42142362758729696,0.3343401488584162,0.5378545060382468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,negative MAE/RMSE and positive R2 favor larger Top-N
Static GCN,Top500_minus_Top100,500,100,42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,-0.0010343348979949957,-0.0013164401358680272,0.026198435328587122,-0.05782070946360579,0.06666666666666665,0.06666666666666665,-0.0002233241664038784,0.0007332975339473372,-2.858281135559304e-05,-0.0010343348979949957,0.00039294521013895356,-0.0003731827373562498,0.0008209752813033574,1.659535026037051e-05,-0.0013164401358680272,0.00018029657353890727,0.007621458448443604,0.016146793117622654,-0.00029193891127521354,-0.0030421210719810965,0.026198435328587122,0.02020580965159428,0.07324394368070355,0.030960052560059792,-0.05782070946360579,0.08747808585832884,0.013333333333333327,0.04807401700618652,0.0,-0.026666666666666672,0.06666666666666665,0.013333333333333327,0.04807401700618652,0.0,-0.026666666666666672,0.06666666666666665,2,1,0,negative MAE/RMSE and positive R2 favor larger Top-N
Static GCN,Top500_minus_Top100,500,100,123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,0.00039294521013895356,1.659535026037051e-05,-0.00029193891127521354,0.030960052560059792,-0.026666666666666672,-0.026666666666666672,-0.0002233241664038784,0.0007332975339473372,-2.858281135559304e-05,-0.0010343348979949957,0.00039294521013895356,-0.0003731827373562498,0.0008209752813033574,1.659535026037051e-05,-0.0013164401358680272,0.00018029657353890727,0.007621458448443604,0.016146793117622654,-0.00029193891127521354,-0.0030421210719810965,0.026198435328587122,0.02020580965159428,0.07324394368070355,0.030960052560059792,-0.05782070946360579,0.08747808585832884,0.013333333333333327,0.04807401700618652,0.0,-0.026666666666666672,0.06666666666666665,0.013333333333333327,0.04807401700618652,0.0,-0.026666666666666672,0.06666666666666665,2,1,0,negative MAE/RMSE and positive R2 favor larger Top-N
Static GCN,Top500_minus_Top100,500,100,2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,-2.858281135559304e-05,0.00018029657353890727,-0.0030421210719810965,0.08747808585832884,0.0,0.0,-0.0002233241664038784,0.0007332975339473372,-2.858281135559304e-05,-0.0010343348979949957,0.00039294521013895356,-0.0003731827373562498,0.0008209752813033574,1.659535026037051e-05,-0.0013164401358680272,0.00018029657353890727,0.007621458448443604,0.016146793117622654,-0.00029193891127521354,-0.0030421210719810965,0.026198435328587122,0.02020580965159428,0.07324394368070355,0.030960052560059792,-0.05782070946360579,0.08747808585832884,0.013333333333333327,0.04807401700618652,0.0,-0.026666666666666672,0.06666666666666665,0.013333333333333327,0.04807401700618652,0.0,-0.026666666666666672,0.06666666666666665,2,1,0,negative MAE/RMSE and positive R2 favor larger Top-N
