model,topn_pair,mean_mae_difference,mean_prediction_sd_ratio_difference
EvolveGCN-H,200-100,-0.004788184629546273,0.3311055939624065
EvolveGCN-H,500-200,-0.006007668905787994,0.10010050019891346
EvolveGCN-H,500-100,-0.010795853535334266,0.43120609416132
Static GCN,200-100,0.0007221489482455712,0.027448062180120483
Static GCN,500-200,-0.0009454731146494496,-0.007242252528526204
Static GCN,500-100,-0.0002233241664038784,0.02020580965159428
