grouping_value,mean_test_mae,std_test_mae,n_seeds
20,0.10051508910126157,0.005646644109230431,3
50,0.10779079981148243,0.01755004238391055,3
100,0.09787406590249803,0.02494611791433778,3
200,0.10015242215659885,0.013588207385113769,3
500,0.09696193625529607,0.009491620713372386,3
