grouping_value,mean_test_mae,std_test_mae,n_seeds
20,0.25678305783205563,0.18953037583973692,3
50,0.10966320770482223,0.03535255207680145,3
100,0.09478979772991604,0.013953118031886095,3
200,0.10122209952937233,0.013152478694036079,3
500,0.09688265446159576,0.00952883606996369,3
