model,universes,seed,experiment_name,experiment_path,split_signature,test_mae,test_rmse,test_r2,test_pearson,target_mean,prediction_mean,target_std,prediction_std,prediction_std_ratio,repeated_prediction_fraction,best_epoch
EvolveGCN-H,200,2025,evolvegcn_h_200u_seed2025_final32,experiments/evolvegcn_h_200u_seed2025_final32,e18f8d29bd480b04dd316d09159d9a6b51362d57bbd14ce21a5e6cfd67925607,0.11484164421757062,0.12910925014056243,-0.015509614338739874,0.08396681477504385,0.27626666699846586,0.25900531907876334,0.13030976676448142,0.0022897942371849908,0.017571931053514254,0.0,5
EvolveGCN-H,500,42,evolvegcn_h_500u_seed42_final32,experiments/evolvegcn_h_500u_seed42_final32,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,0.08653705775737762,0.10205947521376181,-0.014195702403178245,0.02095029129271221,0.2916933327913284,0.30393179893493655,0.10202514478236673,0.0028651419512687993,0.028082704095941546,0.0,8
EvolveGCN-H,500,123,evolvegcn_h_500u_seed123_final32,experiments/evolvegcn_h_500u_seed123_final32,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,0.09924482007821402,0.11675728841112959,-0.05300625110331092,-0.11775060121440831,0.29364533245563507,0.2960963030656179,0.11454688870034196,0.01603035539138861,0.13994579489037445,0.0,65
EvolveGCN-H,500,2025,evolvegcn_h_500u_seed2025_final32,experiments/evolvegcn_h_500u_seed2025_final32,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,0.10510393093029657,0.12090740337632606,-0.029850955944742852,-0.008910449300924321,0.29471200038989387,0.31502074241638184,0.11994453853216079,0.0024780955379836234,0.02066034492532705,0.0,5
Static GCN,20,42,static_gcn_u20_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,experiments/static_gcn_u20_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,9a1244427ae4384e8bb9c5f10d9cf32f477a5fbec3658cf875b682f03556c63e,0.17516184722383818,0.21411148163961694,-3.1121054009799884,-0.8687916392312691,0.26260000467300415,0.20681078359484673,0.1293163587411328,0.1325928683044817,1.0253371622526726,0.0,6
Static GCN,20,123,static_gcn_20u_seed123_final32,experiments/static_gcn_20u_seed123_final32,6a5fa7b456c323e93ff672a43a35ab6926fbfd1acc4b8f7ce6ada1501ee447f1,0.12173790733019511,0.13241025311452956,0.08070289344613502,0.3117258205575502,0.3147333363691966,0.31280330816904706,0.16913726307101956,0.031147166063721345,0.18415318716989565,0.0,10
Static GCN,20,2025,static_gcn_u20_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,experiments/static_gcn_u20_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,7e5e08400b3be5b952b05ca039d96548792538cacb2de678f873831850349370,0.4734494189421336,0.49181922094388586,-22.712592535001523,-0.9946636970950014,0.2930000027020772,-0.18044941624005637,0.12369769520690155,0.03955028811990152,0.3197334279652356,0.0,3
Static GCN,50,42,static_gcn_u50_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,experiments/static_gcn_u50_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,c0b5e03520b87262cb2bd0fbfa8b4a0d882a62c2d51e04ccf0ec64ef6a85f3a8,0.08003606554120779,0.09485658687160253,0.2171793576029949,0.48958767195022357,0.2638000017032027,0.25697835348546505,0.11461259157263834,0.040537351173831955,0.3536902064389713,0.0,33
Static GCN,50,123,static_gcn_50u_seed123_final32,experiments/static_gcn_50u_seed123_final32,7f94f9364f1187977f57e511eae46d5935b1a521fa5e8981e1bca8f661cb8f53,0.10015647299587727,0.12603853986013672,-0.023011841950808964,0.1242011801825041,0.2541500013321638,0.263885747641325,0.13321680277292594,0.040500200685808806,0.3040172098623567,0.0,2
Static GCN,50,2025,static_gcn_u50_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,experiments/static_gcn_u50_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,a323cf033bdb75d169bc3c3549b2ea5cda4ee985186aa59915b3a071305fca0a,0.1487970845773816,0.1633833629725307,-0.2937863871434965,-0.3293461781363088,0.30125000048428774,0.28676298819482327,0.15355802433217589,0.04557900096945565,0.29681940209688684,0.0,20
Static GCN,100,42,static_gcn_u100_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,experiments/static_gcn_u100_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,314f7bac57d93fa0848e55ef03271ba12c2669419b7c3d5946dba2d5e112ea80,0.0806014746427536,0.10917941626769455,-0.3637072776539614,0.47588605181002497,0.31166666448116304,0.24568041364351909,0.09677469262602026,0.016694061766442784,0.1725044152912574,0.0,23
Static GCN,100,123,static_gcn_100u_seed123_final32,experiments/static_gcn_100u_seed123_final32,ad09fcef712701e99cc512f3b5267a9f3ab0e2bededb301e623a7a7bda7b6fa4,0.10849517087141673,0.12334691374466432,-0.04818449682994741,0.17736371173351756,0.2657733311255773,0.2991851588090261,0.12470705783441156,0.028637470202832048,0.22963792667498767,0.0,4
Static GCN,100,2025,static_gcn_u100_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,experiments/static_gcn_u100_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,a8b0e2d9ade3a7ca620bd4aed7eea68ee44da8d326b65c8f35a309273f4a79f2,0.09527274767557779,0.11641933299735532,-0.21993693310833518,-0.32036750287720683,0.2612399995326996,0.259466419617335,0.10910333565639337,0.026985362415734664,0.2473376478673532,0.0,21
Static GCN,200,42,static_gcn_200u_seed42_final32,experiments/static_gcn_200u_seed42_final32,18119caf4493ad43fbcc2c26ea0eb2ddd5af10b33300db2c701ff94fb9feda0c,0.1013598270714283,0.12421376869913518,-0.26458813801549996,0.13660390732257272,0.31525333151221274,0.34980544249216716,0.11234579328669941,0.06372073733748061,0.5671840081708204,0.0,2
Static GCN,200,123,static_gcn_200u_seed123_final32,experiments/static_gcn_200u_seed123_final32,1ea130626d0e4657a21a8e1657de3cd79eac2b63499a25c227e1b0f139548aa8,0.0880012979110082,0.10431835434084098,0.031258069591607374,0.3388453549709518,0.29908000032107035,0.28575100004673004,0.10779988728815551,0.008469964355101089,0.07857118006496955,0.0,35
Static GCN,200,2025,static_gcn_200u_seed2025_final32,experiments/static_gcn_200u_seed2025_final32,e18f8d29bd480b04dd316d09159d9a6b51362d57bbd14ce21a5e6cfd67925607,0.11430517360568046,0.1282726445680806,-0.0023916009897171353,0.09144280193642101,0.27626666699846586,0.2886063893636068,0.13030976676448142,0.01692387868832012,0.12987421517611886,0.0,27
Static GCN,500,42,static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,experiments/static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,0.08711746076742809,0.10201640676577252,-0.013339914766361538,0.018855713383035683,0.2916933327913284,0.30203171730041506,0.10202514478236673,0.007774500563749401,0.07620180868484382,0.02666666666666667,22
Static GCN,500,123,static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed123,experiments/static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,0.09737441301345826,0.11448828811518416,-0.012476780112041563,0.05530510272576662,0.29364533245563507,0.2942966717481613,0.11454688870034196,0.02059722574610602,0.17981479881124462,0.0,2
Static GCN,500,2025,static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,experiments/static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,0.10615608960390091,0.12196673837984479,-0.04797617189763437,-0.09039795750752276,0.29471200038989387,0.3143369690577189,0.11994453853216079,0.009588594468172973,0.07994190136136943,0.0,20
