epoch,train_mse,val_mse,best_val_mse,best_epoch,learning_rate
1,2495.5120397832657,20.336859674164742,20.336859674164742,1,0.001
2,7.83603915837076,4.1042384247888215,4.1042384247888215,2,0.001
3,6.405540801154243,3.341497196693613,3.341497196693613,3,0.001
4,5.567742982837889,2.6242678231663175,2.6242678231663175,4,0.001
5,3.2511329752206803,1.2379292382134333,1.2379292382134333,5,0.001
6,2.04187693891012,2.1343301420259957,1.2379292382134333,5,0.001
7,1.3217338995138803,0.9308745864063802,0.9308745864063802,7,0.001
8,1.544199117090967,0.48044548281515487,0.48044548281515487,8,0.001
9,1.2350327939126227,0.3654535509871714,0.3654535509871714,9,0.001
10,0.6987386841244168,0.7763625734081172,0.3654535509871714,9,0.001
11,0.9727165822353628,0.3828422084751755,0.3654535509871714,9,0.001
12,0.5314848663740688,0.14225755340297414,0.14225755340297414,12,0.001
13,0.5626979398892985,0.27493330644387187,0.14225755340297414,12,0.001
14,0.41039868817561204,0.36855071056822336,0.14225755340297414,12,0.001
15,0.42931740939203233,0.12235488275987934,0.12235488275987934,15,0.001
16,0.2590847723103232,0.22646956517351696,0.12235488275987934,15,0.001
17,0.30605063310927816,0.36514030077090165,0.12235488275987934,15,0.001
18,0.28218497624827754,0.30311928463704657,0.12235488275987934,15,0.001
19,0.1891212758070065,0.12043863662866632,0.12043863662866632,19,0.001
20,0.12302101870377859,0.11607197623210724,0.11607197623210724,20,0.001
21,0.1373690294350187,0.0539018888816689,0.0539018888816689,21,0.001
22,0.09501221616235045,0.10364388380989883,0.0539018888816689,21,0.001
23,0.15261543388168017,0.09358504318603963,0.0539018888816689,21,0.001
24,0.11819981326245599,0.10307753255421465,0.0539018888816689,21,0.001
25,0.2980878147482872,0.12377989570600818,0.0539018888816689,21,0.001
26,0.067788102364478,0.028503312908037745,0.028503312908037745,26,0.001
27,0.09287741159606311,0.06461161518036718,0.028503312908037745,26,0.001
28,0.0578681917136742,0.12276343805621369,0.028503312908037745,26,0.001
29,0.07587595087889996,0.05320853524079377,0.028503312908037745,26,0.001
30,0.054192980901959044,0.020508873125895707,0.020508873125895707,30,0.001
31,0.04088478315518134,0.025775297803597316,0.020508873125895707,30,0.001
32,0.05750707851515876,0.2535829155734091,0.020508873125895707,30,0.001
33,0.07800677412499984,0.03221263576562357,0.020508873125895707,30,0.001
34,0.03822983036050573,0.01599852300973402,0.01599852300973402,34,0.001
35,0.038309961007390585,0.015481992558848977,0.015481992558848977,35,0.001
36,0.029765399259825548,0.020431809889321976,0.015481992558848977,35,0.001
37,0.032024321175542554,0.011221820338055341,0.011221820338055341,37,0.001
38,0.03611719581919412,0.008152350223613809,0.008152350223613809,38,0.001
39,0.022788771049429973,0.011339284592505657,0.008152350223613809,38,0.001
40,0.021256189487564067,0.01110037630941305,0.008152350223613809,38,0.001
41,0.019140472441601258,0.007393977943469177,0.007393977943469177,41,0.001
42,0.017318418530436853,0.010585527885893379,0.007393977943469177,41,0.001
43,0.0194169169725501,0.022799434695355218,0.007393977943469177,41,0.001
44,0.02482350886223786,0.010032455507440098,0.007393977943469177,41,0.001
45,0.016621224158443512,0.0072459995680761455,0.0072459995680761455,45,0.001
46,0.018461903335992246,0.007942910515468079,0.0072459995680761455,45,0.001
47,0.012756456135151287,0.008225362682056547,0.0072459995680761455,45,0.001
48,0.017632548582170986,0.03815179337004219,0.0072459995680761455,45,0.001
49,0.00973991271108389,0.010318836771102265,0.0072459995680761455,45,0.001
