model,normalization,seed_count,seeds,mean_test_mae,sd_test_mae,median_test_mae,mean_test_rmse,sd_test_rmse,mean_test_r2,sd_test_r2,mean_prediction_sd_ratio,sd_prediction_sd_ratio,mean_repeated_prediction_fraction,maximum_repeated_prediction_fraction,undefined_pearson_count
EvolveGCN-H,none,5,42|123|777|999|2025,0.06579773106177648,0.0049215342524324196,0.06244542827208837,0.08003124035187978,0.006632656224144525,0.47233834989980206,0.10447707003475726,0.690694929048256,0.12286333041911152,0.032,0.13333333333333333,0
EvolveGCN-H,minmax,5,42|123|777|999|2025,0.08499973156054814,0.004432919890414583,0.08726186027129491,0.10090192003366438,0.005250775105195935,0.16520599320348062,0.11182301793133759,0.4832498415604933,0.09215958167008577,0.0,0.0,0
EvolveGCN-H,zscore,5,42|123|777|999|2025,0.09454833187659581,0.006506980193235106,0.09287951131661733,0.11039049272367642,0.00619399101821364,0.007733454059632328,0.04386357817329807,0.25364571628667293,0.11449108194019124,0.0,0.0,0
Static GCN,none,5,42|123|777|999|2025,0.04530419772863388,0.0037254363568097236,0.04450859576463699,0.056607285060342884,0.005074396121774771,0.7346603050880833,0.06344959915640822,0.8458138403192814,0.012971287940414019,0.0,0.0,0
Static GCN,minmax,5,42|123|777|999|2025,0.09598579416672388,0.006421101657936905,0.09758672704299291,0.11222333612550718,0.0067305748403480295,-0.024471607999981736,0.02734248556157464,0.11066274045661885,0.08848422978617218,0.4266666666666667,0.9866666666666667,1
Static GCN,zscore,5,42|123|777|999|2025,0.09933548722664515,0.005608166763731675,0.10255750546852747,0.116358167190289,0.005563701142985186,-0.10376857092484597,0.06452208825651258,0.2621362554108058,0.11422450193222523,0.056,0.22666666666666666,0
