model,top_n,seed_count,mean_test_mae,sd_test_mae,median_test_mae,mean_test_rmse,sd_test_rmse,mean_test_r2,sd_test_r2,mean_prediction_sd_ratio,sd_prediction_sd_ratio,mean_exact_repeat_fraction,maximum_exact_repeat_fraction,undefined_pearson_count
EvolveGCN-H,100,3,0.09696193625529607,0.009491620713372386,0.09924482007821402,0.11324138900040583,0.009903648848027755,-0.03235096981707734,0.019525681156434497,0.06289628130388102,0.06682995968763432,0.0,0.0,0
EvolveGCN-H,200,3,0.0921737516257498,0.008329150797385594,0.09456785927216212,0.10969568168207189,0.008587476690646011,0.025709203060261848,0.11433182878390986,0.39400187526628755,0.07575742302866367,0.0,0.0,0
EvolveGCN-H,500,3,0.0861660827199618,0.004255205248835941,0.08808545728524526,0.10284770129107003,0.0035418470009421325,0.14130116747942853,0.09399075742815581,0.494102375465201,0.11404674318517402,0.0,0.0,0
Static GCN,100,3,0.09626246078146829,0.008339954175818166,0.09758658031622569,0.11212654384361642,0.008538830030993491,-0.013415782116488048,0.01484871930074586,0.04330455018316228,0.02761988412671328,0.4488888888888889,0.92,0
Static GCN,200,3,0.09698460972971386,0.00983554314070291,0.09827724874019622,0.11292021312844396,0.01005300420570395,-0.026294453013813834,0.015036009464593434,0.07075261236328276,0.0671945079837106,0.4666666666666667,0.9866666666666667,1
Static GCN,500,3,0.09603913661506441,0.008923275261375964,0.09797952552636464,0.11175336110626018,0.009337094449363958,-0.005794323668044443,0.005322581041171757,0.06351035983475656,0.07627920341820976,0.46222222222222226,0.9866666666666667,1
