model,hidden_dim,k,mean_test_mae
EvolveGCN-H,32,4,0.09670755753914514
EvolveGCN-H,32,6,0.09641594419876734
EvolveGCN-H,32,8,0.09696193625529607
EvolveGCN-H,32,12,0.0961808881163597
EvolveGCN-H,64,4,0.09777269108427895
EvolveGCN-H,64,6,0.09689524077706867
EvolveGCN-H,64,8,0.0965620176990827
EvolveGCN-H,64,12,0.09745267666048474
