model,k,old_mean_test_mae,new_mean_test_mae,absolute_difference
EvolveGCN-H,4,0.09777269108427895,0.09777269108427895,0.0
EvolveGCN-H,6,0.09689524077706867,0.09689524077706867,0.0
EvolveGCN-H,8,0.0965620176990827,0.0965620176990827,0.0
EvolveGCN-H,12,0.09745267666048474,0.09745267666048474,0.0
Static GCN,4,0.09731819758812586,0.09731819758812586,0.0
Static GCN,6,0.09676474488443798,0.09676474488443798,0.0
Static GCN,8,0.09629471232493719,0.09629471232493719,0.0
Static GCN,12,0.0974326691031456,0.0974326691031456,0.0
