model,head_type,selection_policy,seed,experiment_name,experiment_path,prediction_path,test_mae,test_rmse,test_r2,prediction_sd_ratio
EvolveGCN-H,linear,median_test_mae,123,evolvegcn_h_750u_top1000_h32_seed123_none_linear_head,experiments/evolvegcn_h_750u_top1000_h32_seed123_none_linear_head,experiments/evolvegcn_h_750u_top1000_h32_seed123_none_linear_head/predictions/test_predictions.csv,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.9793908511167602
EvolveGCN-H,mlp,median_test_mae,42,evolvegcn_h_750u_top1000_h32_seed42_none,experiments/evolvegcn_h_750u_top1000_h32_seed42_none,experiments/evolvegcn_h_750u_top1000_h32_seed42_none/predictions/test_predictions.csv,0.061760590221751385,0.07365219992010104,0.6299393277684502,0.6139325345379723
