epoch,train_mse,val_mse,best_val_mse,best_epoch,learning_rate
1,4333.865057764054,2.7385081377896396,2.7385081377896396,1,0.001
2,1.855623340010643,2.7231143086847633,2.7231143086847633,2,0.001
3,1.3090716832876206,2.5668528670012347,2.5668528670012347,3,0.001
4,1.23152987241745,0.9985504181999149,0.9985504181999149,4,0.001
5,0.5461664688587189,1.0653309981630306,0.9985504181999149,4,0.001
6,0.4964478746801615,0.37163685728805235,0.37163685728805235,6,0.001
7,0.6778053885698319,1.162251327977036,0.37163685728805235,6,0.001
8,0.8988468474149705,0.24348726085942202,0.24348726085942202,8,0.001
9,0.6912638953328133,0.24958651332241116,0.24348726085942202,8,0.001
10,0.1915117458999157,0.17387193998303077,0.17387193998303077,10,0.001
11,0.2521348372101784,0.22025333013799456,0.17387193998303077,10,0.001
12,0.11391527868807316,0.5629430654073002,0.17387193998303077,10,0.001
13,0.15962068617343902,0.17994452429690747,0.17387193998303077,10,0.001
14,0.07888255352154375,0.11815689223809074,0.11815689223809074,14,0.001
15,0.04947406521998346,0.14512129549426261,0.11815689223809074,14,0.001
16,0.13054413855075836,0.21440854469182516,0.11815689223809074,14,0.001
17,0.16796477757394312,0.42379897599569477,0.11815689223809074,14,0.001
18,0.17689984045922758,0.16803117728594577,0.11815689223809074,14,0.001
19,0.11837899498641491,0.06695951888281287,0.06695951888281287,19,0.001
20,0.09971845859661699,0.07157967145545314,0.06695951888281287,19,0.001
21,0.07906560216099023,0.1307139040554187,0.06695951888281287,19,0.001
22,0.10640046693384647,0.10881245663069715,0.06695951888281287,19,0.001
23,0.05125250834971666,0.065488916229118,0.065488916229118,23,0.001
24,0.041090755788609386,0.04690475907703542,0.04690475907703542,24,0.001
25,0.03064434329047799,0.03360096809237895,0.03360096809237895,25,0.001
26,0.03455207525053993,0.03682137925631715,0.03360096809237895,25,0.001
27,0.06135629253461957,0.04152353781491819,0.03360096809237895,25,0.001
28,0.03687546771019697,0.1440727741203525,0.03360096809237895,25,0.001
29,0.030165471602231264,0.023639446750019836,0.023639446750019836,29,0.001
30,0.03466427069157362,0.02124978489044941,0.02124978489044941,30,0.001
31,0.018207994606345892,0.0757288910787214,0.02124978489044941,30,0.001
32,0.048545397138223055,0.03485783694001535,0.02124978489044941,30,0.001
33,0.02174368011765182,0.021836230996996164,0.02124978489044941,30,0.001
34,0.017679168325848878,0.019862820373170754,0.019862820373170754,34,0.001
35,0.024125209413468837,0.019336795944701692,0.019336795944701692,35,0.001
36,0.01733198022120632,0.026414965834430974,0.019336795944701692,35,0.001
37,0.011059339130297304,0.028309760342417944,0.019336795944701692,35,0.001
38,0.015876569042447955,0.01889448142563454,0.01889448142563454,38,0.001
39,0.01189122180454433,0.018433889891538355,0.018433889891538355,39,0.001
40,0.008240640205331147,0.018773806055612637,0.018433889891538355,39,0.001
41,0.014607974470127374,0.015250669049117902,0.015250669049117902,41,0.001
42,0.022074608164839447,0.030771522575782403,0.015250669049117902,41,0.001
43,0.017074790525948628,0.0296162674579807,0.015250669049117902,41,0.001
44,0.023505695317871868,0.049916470762003555,0.015250669049117902,41,0.001
45,0.028774389270693063,0.015625427571134737,0.015250669049117902,41,0.001
46,0.015876276222988962,0.013270924498110709,0.013270924498110709,46,0.001
47,0.025626979935914278,0.01618286410365442,0.013270924498110709,46,0.001
48,0.006752373927738518,0.03825765719279797,0.013270924498110709,46,0.001
49,0.011999565224396064,0.04572519050403075,0.013270924498110709,46,0.001
50,0.012738580266013742,0.014032921692676316,0.013270924498110709,46,0.001
51,0.02799449150916189,0.014180769325431549,0.013270924498110709,46,0.001
52,0.012117128525860608,0.02156927308650932,0.013270924498110709,46,0.001
53,0.015275025740265846,0.02907868248006009,0.013270924498110709,46,0.001
54,0.009565178137272597,0.009643112403350045,0.009643112403350045,54,0.001
55,0.009174466143595055,0.01123177655266993,0.009643112403350045,54,0.001
56,0.0066068302013445645,0.008152780932082672,0.008152780932082672,56,0.001
57,0.006272086401004344,0.010868970008397644,0.008152780932082672,56,0.001
58,0.016511425552889706,0.010595379754750415,0.008152780932082672,56,0.001
59,0.007367597039556131,0.011317612386938899,0.008152780932082672,56,0.001
60,0.004657493629492819,0.008821178110071807,0.008152780932082672,56,0.001
61,0.011920990268699826,0.010348174622225943,0.008152780932082672,56,0.001
62,0.00760435460251756,0.020322696879656627,0.008152780932082672,56,0.001
63,0.009359451931668445,0.011078570489630554,0.008152780932082672,56,0.001
64,0.014139886237680912,0.015068066569816584,0.008152780932082672,56,0.001
65,0.008336837510578335,0.01225338823096168,0.008152780932082672,56,0.001
66,0.008256881684064864,0.01062203532630446,0.008152780932082672,56,0.001
67,0.007766798219527118,0.011478230940422626,0.008152780932082672,56,0.0005
68,0.009019536208361387,0.011494818999610766,0.008152780932082672,56,0.0005
69,0.006516306089470163,0.010049923374834988,0.008152780932082672,56,0.0005
70,0.004129849845776334,0.011086749458553815,0.008152780932082672,56,0.0005
71,0.00360976379015483,0.010063494922536793,0.008152780932082672,56,0.0005
72,0.0032564377668313684,0.010647684004101338,0.008152780932082672,56,0.0005
73,0.003315784400328994,0.009722465367028208,0.008152780932082672,56,0.0005
74,0.0027641194729949347,0.009628970227721665,0.008152780932082672,56,0.0005
75,0.0031298433383926748,0.008431103743725655,0.008152780932082672,56,0.0005
76,0.002571909086545929,0.009623111580790144,0.008152780932082672,56,0.0005
77,0.0032659878325648605,0.010198307559928961,0.008152780932082672,56,0.0005
78,0.0025680155283771457,0.009596479463983665,0.008152780932082672,56,0.00025
79,0.002807551100559067,0.010297987779433077,0.008152780932082672,56,0.00025
80,0.006150146063882858,0.010548690428035428,0.008152780932082672,56,0.00025
81,0.0032221720449160784,0.010631394205671368,0.008152780932082672,56,0.00025
82,0.0029996917041717097,0.009848089479474407,0.008152780932082672,56,0.00025
83,0.0030351175466785205,0.011672017197453916,0.008152780932082672,56,0.00025
84,0.002951415227726102,0.010725405768049185,0.008152780932082672,56,0.00025
85,0.0032844691083300857,0.012868979282564285,0.008152780932082672,56,0.00025
86,0.003474409377668053,0.013132205327050854,0.008152780932082672,56,0.00025
87,0.003009142354130745,0.01440201040282093,0.008152780932082672,56,0.00025
88,0.002945187380537391,0.015424558046189222,0.008152780932082672,56,0.00025
89,0.002951920740306377,0.015580071009356867,0.008152780932082672,56,0.000125
90,0.0020636205235496164,0.010749168251876277,0.008152780932082672,56,0.000125
91,0.0017271533253369854,0.009859875573616738,0.008152780932082672,56,0.000125
92,0.0016873614997894037,0.012471791577873507,0.008152780932082672,56,0.000125
93,0.0019846393849002196,0.013660298754470517,0.008152780932082672,56,0.000125
94,0.0016321527076070196,0.01223981807554009,0.008152780932082672,56,0.000125
95,0.0015990559093188494,0.012661069100064159,0.008152780932082672,56,0.000125
96,0.0013154310619574972,0.010635422295749639,0.008152780932082672,56,0.000125
