universe_id,target,logm_mean,logm_std,logm_min,logm_max,logm_median,x_std,y_std,z_std,position_spread,vx_mean,vy_mean,vz_mean,vx_std,vy_std,vz_std,velocity_spread,velocity_norm_mean,velocity_norm_std
LH_56,0.41659998893737793,-5.590916e-07,0.9999999,-1.1432933,2.9241264,-0.34943599,0.99999994,0.99999994,0.99999994,1.0,-1.4305114e-08,-1.1622905e-08,-4.172325e-09,0.9999999,1.0,1.0,0.9999998,1.4607195,0.93075144
LH_57,0.3874000012874603,-5.0532817e-06,0.99999994,-1.059993,4.428075,-0.35285386,1.0,1.0,1.0,1.0,2.9802323e-09,-1.07288365e-08,9.536743e-09,1.0,0.99999994,1.0,1.0,1.3766571,1.0511022
LH_58,0.19140000641345978,1.82271e-06,0.9999999,-1.0750995,4.5592303,-0.28814018,0.99999994,1.0,1.0,1.0,8.940697e-09,2.2053719e-08,2.9802322e-10,0.9999999,0.9999999,1.0,1.0,1.508596,0.850963
LH_59,0.4781999886035919,-6.377697e-07,1.0,-0.99646074,3.6535592,-0.29907873,1.0,1.0,1.0,0.99999994,-2.3841857e-09,9.536743e-09,1.1920929e-09,0.99999994,1.0,0.99999994,1.0,1.4902549,0.8826894
LH_60,0.42579999566078186,3.1757354e-06,1.0,-1.0220577,3.454173,-0.30761924,1.0,1.0,0.99999994,0.99999994,1.4305114e-08,-1.66893e-08,-8.046627e-09,1.0,1.0,0.99999994,1.0,1.4501933,0.94706875
LH_61,0.17499999701976776,-1.1217594e-06,1.0,-1.095003,3.841957,-0.2696946,1.0,0.99999994,0.99999994,1.0,8.34465e-09,-7.152557e-09,1.7881394e-08,1.0,0.9999999,0.99999994,0.99999994,1.5327067,0.8067279
LH_62,0.23899999260902405,-4.4226647e-07,1.0,-1.0257305,4.2240624,-0.3560365,1.0,0.99999994,1.0,0.99999994,-7.7486035e-09,1.7285346e-08,1.1920929e-09,1.0,0.9999999,1.0,1.0,1.500841,0.8645674
LH_63,0.14180000126361847,-3.923774e-06,0.99999994,-0.86048263,4.687737,-0.29710394,1.0000001,0.99999994,1.0,1.0,-1.07288365e-08,-1.4305114e-08,-2.7120114e-08,1.0,1.0,1.0,0.99999994,1.430095,0.97715294
LH_64,0.17739999294281006,4.745722e-06,1.0,-1.0824025,3.4813328,-0.370027,1.0,0.99999994,1.0,1.0,1.7881394e-08,1.9669534e-08,-1.07288365e-08,1.0,1.0,0.99999994,1.0,1.4893407,0.88423055
LH_65,0.2921999990940094,-2.412796e-06,1.0,-0.93191767,3.7290254,-0.31642497,1.0,1.0,0.99999994,1.0,2.9802323e-09,2.324581e-08,-1.1920929e-09,0.99999994,1.0,1.0,1.0,1.4016407,1.0175478
LH_66,0.3041999936103821,-2.666712e-06,0.9999999,-1.2078071,2.7714818,-0.16869566,1.0,1.0,1.0,1.0,2.9802322e-10,-2.4139881e-08,-2.6226044e-08,0.99999994,1.0,1.0,1.0,1.5621451,0.74813306
LH_67,0.14740000665187836,-1.6057492e-06,1.0,-1.103908,3.6946514,-0.33468738,0.9999999,1.0,1.0,0.99999994,1.7285346e-08,9.3877315e-09,-4.7683715e-09,1.0,1.0,1.0,1.0,1.5644028,0.74340004
LH_68,0.11900000274181366,-1.528263e-06,0.9999999,-1.1953983,3.727626,-0.24130435,1.0,1.0,0.99999994,1.0,-1.66893e-08,2.026558e-08,-3.8743018e-09,1.0,0.99999994,1.0,1.0,1.5695198,0.7325358
LH_69,0.241799995303154,4.656315e-06,1.0,-0.9775011,4.003382,-0.32466203,1.0,0.9999999,0.99999994,1.0,6.6682695e-09,4.7683715e-09,-1.7285346e-08,1.0,1.0,1.0,1.0,1.4759499,0.90640664
LH_70,0.3370000123977661,-5.658865e-06,0.9999999,-1.187764,4.6952057,-0.19100934,1.0,1.0,1.0,1.0,2.9802323e-09,-1.23679635e-08,1.37090685e-08,0.99999994,1.0,1.0000001,1.0,1.4391664,0.96374303
LH_71,0.2533999979496002,2.541542e-06,0.99999994,-1.1409544,3.8902814,-0.36169755,0.99999994,1.0,1.0,1.0,5.9604643e-10,0.0,-5.9604646e-09,0.9999999,1.0,1.0,0.99999994,1.4981805,0.86916894
LH_72,0.2101999968290329,-4.720688e-07,1.0,-1.0578084,3.7583227,-0.30073708,0.99999994,0.9999999,0.99999994,0.99999994,-2.0861626e-09,2.3841857e-09,-8.121133e-09,0.99999994,1.0,0.99999994,1.0,1.4782602,0.9026333
LH_73,0.14339999854564667,-2.4491549e-06,1.0,-0.96684736,5.216116,-0.29803327,1.0,1.0,1.0,0.99999994,-2.4437904e-08,-3.6358834e-08,-2.6077032e-08,0.9999999,1.0,1.0,1.0,1.5065683,0.8545479
LH_74,0.2793999910354614,-9.459257e-07,1.0,-0.92004794,4.395316,-0.31374875,1.0,0.99999994,0.99999994,0.99999994,-1.66893e-08,-4.7683715e-09,2.3841857e-09,0.99999994,1.0,1.0,1.0,1.474291,0.909102
LH_75,0.13779999315738678,2.82526e-07,0.9999999,-1.0668151,4.135975,-0.34848022,0.99999994,1.0,1.0,1.0,2.3841857e-09,7.152557e-09,-8.34465e-09,1.0,0.99999994,1.0,1.0,1.3450354,1.0912744
LH_76,0.3977999985218048,2.5385618e-06,1.0,-0.9898213,3.7595,-0.34127876,1.0,0.99999994,1.0000001,1.0,-8.940697e-09,1.2516975e-08,7.7486035e-09,0.9999999,1.0,0.99999994,0.99999994,1.5566107,0.759581
LH_77,0.10180000215768814,4.051924e-06,0.9999999,-1.2425683,5.1131897,-0.14853737,0.99999994,0.9999999,0.99999994,0.9999998,1.9669534e-08,-1.6093255e-08,-8.34465e-09,1.0,1.0,1.0,1.0,1.5137911,0.84168696
LH_78,0.19059999287128448,9.1671944e-07,1.0,-1.0703963,3.4105873,-0.3444335,1.0,1.0,1.0,1.0,-7.152557e-09,0.0,2.2649765e-08,1.0,1.0,1.0,1.0,1.4870284,0.88811433
LH_79,0.3882000148296356,-7.987022e-07,1.0,-1.0949564,3.8384135,-0.37699175,1.0,1.0,0.99999994,1.0,-1.9669534e-08,-1.296401e-08,2.7418137e-08,1.0,1.0,1.0,1.0,1.4807434,0.89855367
LH_80,0.4546000063419342,1.654625e-06,0.9999999,-1.0801326,3.0163612,-0.31193575,1.0,1.0,1.0,0.99999994,-1.7881393e-09,-2.9802323e-09,-1.07288365e-08,0.99999994,0.99999994,1.0,1.0,1.5256889,0.81992257
LH_81,0.32339999079704285,-4.9507616e-06,0.99999994,-1.150768,3.2832725,-0.15355718,0.99999994,1.0,1.0,1.0,-2.2351743e-09,9.536743e-09,2.324581e-08,1.0,1.0,0.99999994,1.0,1.5301884,0.81149447
LH_82,0.35740000009536743,-9.4771383e-07,1.0,-1.098184,4.377502,-0.28345656,0.99999994,1.0,0.99999994,1.0,-6.6682695e-09,1.07288365e-08,4.7683715e-09,1.0,1.0,1.0,1.0,1.4389448,0.96407366
LH_83,0.3357999920845032,-3.8444996e-06,1.0,-1.1160972,3.4733708,-0.29043502,0.99999994,1.0000001,1.0,1.0,2.044253e-09,-1.5497207e-08,1.9669534e-08,1.0,1.0000001,1.0,1.0,1.5724244,0.7262789
LH_84,0.15139999985694885,-9.119511e-07,1.0000001,-1.0813717,4.651238,-0.27545297,1.0,1.0,1.0,1.0,-7.897615e-09,-9.536743e-09,1.4305114e-08,0.99999994,1.0,1.0,1.0,1.4838638,0.89339113
LH_85,0.25940001010894775,-1.9741058e-06,1.0,-1.0329391,4.0126333,-0.3282697,0.9999999,1.0,1.0,1.0,-1.07288365e-08,1.4603138e-08,5.8114527e-09,0.9999999,1.0,1.0,0.9999998,1.5530226,0.7668903
LH_86,0.2345999926328659,1.5246868e-06,1.0,-1.1500465,3.6258664,-0.224235,1.0,0.9999999,1.0,1.0,4.7683715e-09,2.95043e-08,8.940697e-09,1.0,0.9999999,1.0,0.99999994,1.4978719,0.8697012
LH_87,0.30059999227523804,3.7193297e-07,1.0,-1.1144835,4.0096855,-0.3712483,1.0,0.9999999,1.0,1.0,1.9073486e-08,2.3841857e-09,8.046627e-09,1.0,0.99999994,1.0,1.0,1.5026307,0.8614531
LH_88,0.48100000619888306,-6.556511e-07,1.0,-1.1011895,2.8347945,-0.25451463,0.9999999,0.99999994,1.0,1.0,2.7418137e-08,-1.1920929e-08,1.40070915e-08,1.0,1.0,1.0,1.0,1.4853226,0.89096385
LH_89,0.334199994802475,-2.9170512e-06,1.0,-1.1813594,2.876426,-0.22974744,1.0,0.99999994,1.0,1.0,1.2516975e-08,1.66893e-08,3.1292437e-08,1.0,1.0,0.99999994,0.99999994,1.5470122,0.77894354
LH_90,0.13300000131130219,-1.7547608e-06,1.0,-1.2821188,3.7361991,-0.22729751,0.99999994,0.99999994,0.99999994,1.0,2.9802322e-10,-1.4454127e-08,1.66893e-08,0.99999994,1.0,1.0,1.0,1.5438973,0.7850997
LH_91,0.28139999508857727,-1.3542175e-06,1.0,-1.1357697,4.0573826,-0.28979915,1.0,1.0,0.9999999,1.0,-5.066395e-09,-2.9951334e-08,-1.3113022e-08,1.0,0.9999999,1.0,1.0,1.4510186,0.9458038
LH_92,0.4674000144004822,-4.029274e-07,1.0,-1.0992461,4.293152,-0.21038383,0.99999994,1.0,0.99999994,1.0,1.4901161e-09,5.3644182e-09,1.37090685e-08,1.0,0.9999999,0.99999994,0.9999998,1.5147117,0.84002876
LH_93,0.4169999957084656,-4.8887728e-06,1.0,-1.1412687,4.871647,-0.27234483,0.99999994,1.0,0.9999999,0.99999994,-7.152557e-09,-2.2649765e-08,1.4305114e-08,1.0,1.0,0.9999999,1.0,1.4297092,0.9777174
