graph_pooling,selection_policy,seed,experiment_name,experiment_path,prediction_path,test_mae,test_rmse,test_r2,prediction_sd_ratio
mean,median_test_mae,123,evolvegcn_h_750u_top1000_h32_seed123_none_linear_head,experiments/evolvegcn_h_750u_top1000_h32_seed123_none_linear_head,experiments/evolvegcn_h_750u_top1000_h32_seed123_none_linear_head/predictions/test_predictions.csv,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.9793908511167602
mean_max,median_test_mae,123,evolvegcn_h_750u_top1000_h32_seed123_none_linear_head_meanmax,experiments/evolvegcn_h_750u_top1000_h32_seed123_none_linear_head_meanmax,experiments/evolvegcn_h_750u_top1000_h32_seed123_none_linear_head_meanmax/predictions/test_predictions.csv,0.07537395588645887,0.11600114444702615,-0.033333312325786624,0.9515355581252557
