training_count,seed,static_mae,evolve_mae,static_minus_evolve_mae,static_mse,evolve_mse,static_minus_evolve_mse,static_rmse,evolve_rmse,static_minus_evolve_rmse,static_r2,evolve_r2,static_minus_evolve_r2,static_prediction_sd_ratio,evolve_prediction_sd_ratio,static_minus_evolve_prediction_sd_ratio
20,42,0.0697704118802,0.241186850422,-0.171416438541,0.00760269634656,0.143752938478,-0.136150242131,0.0871934421075,0.379147647333,-0.291954205225,0.481356270265,-8.80659449938,9.28795076964,0.807694454972,3.12128103364,-2.31358657867
20,123,0.0626436605382,1.11262345915,-1.04997979861,0.00627032234151,2.74026314768,-2.73399282534,0.0791853669658,1.65537402048,-1.57618865352,0.518489513436,-209.430241013,209.948730527,0.85907211554,14.3752528561,-13.5161807406
20,2025,0.0737914062703,0.274413567945,-0.200622161674,0.0081803438946,0.161189465991,-0.153009122097,0.090445253577,0.401484079375,-0.311038825798,0.435478700918,-10.1236016373,10.5590803382,0.747324214679,3.24554514116,-2.49822092648
50,42,0.0575608415019,0.12477214096,-0.0672112994582,0.00506292534151,0.0360881522618,-0.0310252269203,0.0711542362865,0.189968819183,-0.118814582896,0.654615367654,-1.46187576553,2.11649113319,0.806553498757,1.61369896125,-0.807145462496
50,123,0.064317567691,0.295577709206,-0.231260141515,0.00614036519214,0.457748627175,-0.451608261983,0.0783604823373,0.676571228457,-0.598210746119,0.52846918064,-34.1514247897,34.6798939704,0.685655671497,6.09831843759,-5.41266276609
50,2025,0.0527922210853,0.109761142872,-0.0569689217862,0.00443676911317,0.0241250510207,-0.0196882819075,0.0666090768077,0.155322409911,-0.0887133331036,0.693820859396,-0.664857286939,1.35867814634,0.863086835379,1.46735669542,-0.604269860041
100,42,0.0495719579396,0.0892162292603,-0.0396442713207,0.00390725292599,0.0128117096042,-0.0089044566782,0.062508022893,0.113188822788,-0.0506807998953,0.733453483057,0.126005754996,0.60744772806,0.843913939629,0.897792247557,-0.053878307928
100,123,0.0510968401361,0.317556769842,-0.266459929706,0.004046580086,0.194669716015,-0.190623135929,0.0636127352501,0.441213911855,-0.377601176605,0.689255090886,-13.94907352,14.6383286109,0.776044620073,3.88040921152,-3.10436459145
100,2025,0.051193826123,0.0859598350985,-0.0347660089755,0.00439848989166,0.0138506645981,-0.00945217470646,0.0663211119603,0.117688846532,-0.051367734572,0.696462488664,0.0441728033904,0.652289685274,0.832710842579,0.959254523853,-0.126543681275
200,42,0.0481052662973,0.0715130257295,-0.0234077594322,0.00355486995268,0.00909597418286,-0.00554110423018,0.059622730168,0.0953728167921,-0.0357500866241,0.757492483332,0.379487255478,0.378005227855,0.85002980249,0.946013926943,-0.0959841244529
200,123,0.0450628851703,0.0700121857041,-0.0249493005338,0.00317474367499,0.008205538375,-0.00503079470002,0.0563448637853,0.0905844267797,-0.0342395629944,0.756205137727,0.369880436719,0.386324701008,0.874974813579,0.985917675419,-0.11094286184
200,2025,0.0450724003772,0.0698180789156,-0.0247456785384,0.00322420573448,0.00806703309033,-0.00484282735584,0.0567820899094,0.0898166637675,-0.0330345738581,0.777499230694,0.443298220886,0.334201009808,0.814413420009,0.867128602203,-0.0527151821938
450,42,0.0462937918468,0.0660918232665,-0.0197980314197,0.00330823657938,0.00665467000738,-0.003346433428,0.0575172720092,0.0815761607786,-0.0240588887694,0.7743174158,0.546029103957,0.228288311843,0.899649800288,0.794865131076,0.104784669212
450,123,0.0389075239944,0.0589710599303,-0.0200635359358,0.00256838782549,0.0053664351228,-0.00279804729731,0.0506792642556,0.0732559562275,-0.0225766919719,0.802768405805,0.587900805356,0.214867600448,0.897625967127,0.840786498645,0.0568394684825
450,2025,0.0412031413607,0.0662719224816,-0.0250687811209,0.0028882580995,0.00682000851644,-0.00393175041695,0.0537425166837,0.082583342851,-0.0288408261673,0.800682803141,0.529354741432,0.27132806171,0.825440114744,0.733079437627,0.0923606771174
700,42,0.0431815903282,0.0554427435594,-0.0122611532312,0.00296434404143,0.00455320127654,-0.00158885723511,0.0544457899331,0.0674774130843,-0.0130316231512,0.797777212217,0.689387924408,0.108389287809,0.855014485294,0.830453861714,0.0245606235803
700,123,0.0376212808178,0.0617677034875,-0.0241464226697,0.00236720468176,0.006748418167,-0.00438121348524,0.0486539277115,0.0821487563326,-0.0334948286211,0.818217658355,0.48177558694,0.336442071415,0.880413302385,0.973052922462,-0.0926396200773
700,2025,0.0382188344699,0.0567172778335,-0.0184984433636,0.00248229142072,0.00561231539264,-0.00313002397192,0.0498225994978,0.0749153882233,-0.0250927887255,0.828698353568,0.61269701896,0.216001334608,0.830604160307,0.860458651365,-0.0298544910581
