model_family,universe_count,seed,experiment_name,experiment_path,include_in_canonical_final32_scaling,exclusion_or_inclusion_reason,dataset_path,dataset_exists,dataset_format,top_n,normalization,hidden_dim,num_layers,dropout,batch_size,epochs,patience,learning_rate,weight_decay,train_ratio,val_ratio,test_ratio,train_count,val_count,test_count,split_signature,test_mae,test_rmse,test_r2
EvolveGCN-H,200,2025,evolvegcn_h_200u_seed2025_final32,experiments/evolvegcn_h_200u_seed2025_final32,True,include: matches final32 h32 protocol,data/processed/temporal_200u_minmax/camels_200u_temporal_logmass_minmax_top100_periodic_knn.pt,True,temporal_graph_sequences,100,minmax,32,2,0.2,4,300,40,0.001,1e-05,0.7,0.15,0.15,140,30,30,9c9add7da9313aa41b5791050b6ba6080da1e3c477ca72840f3cedc63bbbcdf8,0.11484164421757062,0.12910925014056243,-0.0155096143387
EvolveGCN-H,500,42,evolvegcn_h_500u_seed42_final32,experiments/evolvegcn_h_500u_seed42_final32,True,include: matches final32 h32 protocol,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,True,temporal_graph_sequences,100,minmax,32,2,0.2,4,300,40,0.001,1e-05,0.7,0.15,0.15,350,75,75,c91d435dbe0e574965d3fd2cc151ddcef3936be1c59a77af07aa10c2f810928f,0.08653705775737762,0.10205947521376181,-0.0141957024032
EvolveGCN-H,500,123,evolvegcn_h_500u_seed123_final32,experiments/evolvegcn_h_500u_seed123_final32,True,include: matches final32 h32 protocol,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,True,temporal_graph_sequences,100,minmax,32,2,0.2,4,300,40,0.001,1e-05,0.7,0.15,0.15,350,75,75,a1aa56a63ca8a3761fb6d3c2015313457f6d3d91fde4d8de30825d930687156a,0.09924482007821402,0.11675728841112959,-0.0530062511033
EvolveGCN-H,500,2025,evolvegcn_h_500u_seed2025_final32,experiments/evolvegcn_h_500u_seed2025_final32,True,include: matches final32 h32 protocol,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,True,temporal_graph_sequences,100,minmax,32,2,0.2,4,300,40,0.001,1e-05,0.7,0.15,0.15,350,75,75,f788fa21bae289e32760def0643b1131a50e08ca7d6b36eb8422cc53ee60d6ad,0.10510393093029657,0.12090740337632608,-0.0298509559447
Static GCN,20,42,static_gcn_20u_seed42,experiments/static_gcn_20u_seed42,False,"exclude: batch_size=4 and epochs=200, while final32 canonical protocol uses batch_size=8 and epochs=300",data/processed/static_20u_logmass_minmax_top100_periodic_knn/camels_20u_static_logmass_minmax_top100_periodic_knn.pt,True,static_final_snapshot_graphs,100,minmax,32,2,0.2,4,200,40,0.001,1e-05,0.7,0.15,0.15,14,3,3,8246ee9ebe2049dc93fc591273cd7f0b88b866457698a15d0cbff1f3d4adf1e4,0.10351092616717021,0.13134465492504,-0.547423300678
Static GCN,20,123,static_gcn_20u_seed123_final32,experiments/static_gcn_20u_seed123_final32,True,include: matches final32 h32 protocol,data/processed/static_20u_logmass_minmax_top100_periodic_knn/camels_20u_static_logmass_minmax_top100_periodic_knn.pt,True,static_final_snapshot_graphs,100,minmax,32,2,0.2,8,300,40,0.001,1e-05,0.7,0.15,0.15,14,3,3,18cc535a6096613ad5027c8a49e694d03f68bf6bdea885deae339834767d6e94,0.12173790733019511,0.13241025311452956,0.0807028934461
Static GCN,20,2025,static_gcn_20u_seed2025,experiments/static_gcn_20u_seed2025,False,"exclude: batch_size=4 and epochs=200, while final32 canonical protocol uses batch_size=8 and epochs=300",data/processed/static_20u_logmass_minmax_top100_periodic_knn/camels_20u_static_logmass_minmax_top100_periodic_knn.pt,True,static_final_snapshot_graphs,100,minmax,32,2,0.2,4,200,40,0.001,1e-05,0.7,0.15,0.15,14,3,3,679c041adaddfed299f27e7c449c7ea7ea6389a50773c147fab6d8c9536287c4,0.21151885638634363,0.21195146826271752,-3.40393502117
Static GCN,50,42,static_gcn_50u_seed42,experiments/static_gcn_50u_seed42,False,"exclude: batch_size=4 and epochs=200, while final32 canonical protocol uses batch_size=8 and epochs=300",data/processed/static_50u_logmass_minmax_top100_periodic_knn/camels_50u_static_logmass_minmax_top100_periodic_knn.pt,True,static_final_snapshot_graphs,100,minmax,32,2,0.2,4,200,40,0.001,1e-05,0.7,0.15,0.15,35,7,8,3f1bb07bf3ffd11b6f0c9ffae1a8aa481fde8a4f318e94f2e16df87a32429441,0.09946961048990488,0.10997620389710115,-0.0522640451231
Static GCN,50,123,static_gcn_50u_seed123_final32,experiments/static_gcn_50u_seed123_final32,True,include: matches final32 h32 protocol,data/processed/static_50u_logmass_minmax_top100_periodic_knn/camels_50u_static_logmass_minmax_top100_periodic_knn.pt,True,static_final_snapshot_graphs,100,minmax,32,2,0.2,8,300,40,0.001,1e-05,0.7,0.15,0.15,35,7,8,6ac61478b05188ac895394062da6498738335cb5ccf804ffe8c845925588c86b,0.10015647299587727,0.12603853986013672,-0.0230118419508
Static GCN,50,2025,static_gcn_50u_seed2025,experiments/static_gcn_50u_seed2025,False,"exclude: batch_size=4 and epochs=200, while final32 canonical protocol uses batch_size=8 and epochs=300",data/processed/static_50u_logmass_minmax_top100_periodic_knn/camels_50u_static_logmass_minmax_top100_periodic_knn.pt,True,static_final_snapshot_graphs,100,minmax,32,2,0.2,4,200,40,0.001,1e-05,0.7,0.15,0.15,35,7,8,c969d63ce51ff5a884437db64e8fc0edae0da953148e3a941b9c48c070b7cc1c,0.10566602740436792,0.11368459366350352,0.373602316572
Static GCN,100,42,static_gcn_100u_seed42,experiments/static_gcn_100u_seed42,False,"exclude: batch_size=4 and epochs=200, while final32 canonical protocol uses batch_size=8 and epochs=300",data/processed/static_100u_logmass_minmax_top100_periodic_knn/camels_100u_static_logmass_minmax_top100_periodic_knn.pt,True,static_final_snapshot_graphs,100,minmax,32,2,0.2,4,200,40,0.001,1e-05,0.7,0.15,0.15,70,15,15,e99c4a8130ac456f25ffec8245a39d55fda67a75979eee665290e3053c8c0db5,0.07501548329989115,0.10298359900642734,-0.213321106803
Static GCN,100,123,static_gcn_100u_seed123_final32,experiments/static_gcn_100u_seed123_final32,True,include: matches final32 h32 protocol,data/processed/static_100u_logmass_minmax_top100_periodic_knn/camels_100u_static_logmass_minmax_top100_periodic_knn.pt,True,static_final_snapshot_graphs,100,minmax,32,2,0.2,8,300,40,0.001,1e-05,0.7,0.15,0.15,70,15,15,fe4c218591eb7a787b40e36732994236ab5c6d69668fe588e426085ff23e3400,0.10849517087141673,0.12334691374466432,-0.0481844968299
Static GCN,100,2025,static_gcn_100u_seed2025,experiments/static_gcn_100u_seed2025,False,"exclude: batch_size=4 and epochs=200, while final32 canonical protocol uses batch_size=8 and epochs=300",data/processed/static_100u_logmass_minmax_top100_periodic_knn/camels_100u_static_logmass_minmax_top100_periodic_knn.pt,True,static_final_snapshot_graphs,100,minmax,32,2,0.2,4,200,40,0.001,1e-05,0.7,0.15,0.15,70,15,15,099813117bd76db005ba1398bb04562bc83efa390e98b3791a0e8df48b2e3a95,0.0885632594426473,0.10838366928896438,-0.0573404954327
Static GCN,200,42,static_gcn_200u_seed42_final32,experiments/static_gcn_200u_seed42_final32,True,include: matches final32 h32 protocol,data/processed/static_200u_logmass_minmax_top100_periodic_knn/camels_200u_static_logmass_minmax_top100_periodic_knn.pt,True,static_final_snapshot_graphs,100,minmax,32,2,0.2,8,300,40,0.001,1e-05,0.7,0.15,0.15,140,30,30,5a998020d49bb8a2eeb36455c600ff4a47e77da42364f8e96c82f5f0bba27d09,0.1013598270714283,0.12421376869913518,-0.264588138015
Static GCN,200,123,static_gcn_200u_seed123_final32,experiments/static_gcn_200u_seed123_final32,True,include: matches final32 h32 protocol,data/processed/static_200u_logmass_minmax_top100_periodic_knn/camels_200u_static_logmass_minmax_top100_periodic_knn.pt,True,static_final_snapshot_graphs,100,minmax,32,2,0.2,8,300,40,0.001,1e-05,0.7,0.15,0.15,140,30,30,2f800c5361b728c73cc6658d4222341e83385437e96b082a0b5fa58b0a09f85d,0.0880012979110082,0.10431835434084098,0.0312580695916
Static GCN,200,2025,static_gcn_200u_seed2025_final32,experiments/static_gcn_200u_seed2025_final32,True,include: matches final32 h32 protocol,data/processed/static_200u_logmass_minmax_top100_periodic_knn/camels_200u_static_logmass_minmax_top100_periodic_knn.pt,True,static_final_snapshot_graphs,100,minmax,32,2,0.2,8,300,40,0.001,1e-05,0.7,0.15,0.15,140,30,30,9c9add7da9313aa41b5791050b6ba6080da1e3c477ca72840f3cedc63bbbcdf8,0.11430517360568046,0.1282726445680806,-0.00239160098972
Static GCN,500,42,static_gcn_500u_seed42_final32,experiments/static_gcn_500u_seed42_final32,True,include: matches final32 h32 protocol,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.pt,True,static_final_snapshot_graphs,100,minmax,32,2,0.2,4,300,40,0.001,1e-05,0.7,0.15,0.15,350,75,75,c91d435dbe0e574965d3fd2cc151ddcef3936be1c59a77af07aa10c2f810928f,0.08667154411474863,0.10203429502891725,-0.0136953179975
Static GCN,500,123,static_gcn_500u_seed123_final32,experiments/static_gcn_500u_seed123_final32,True,include: matches final32 h32 protocol,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.pt,True,static_final_snapshot_graphs,100,minmax,32,2,0.2,4,300,40,0.001,1e-05,0.7,0.15,0.15,350,75,75,a1aa56a63ca8a3761fb6d3c2015313457f6d3d91fde4d8de30825d930687156a,0.09935710648695628,0.11687757520949035,-0.0551770448614
Static GCN,500,2025,static_gcn_500u_seed2025_final32,experiments/static_gcn_500u_seed2025_final32,True,include: matches final32 h32 protocol,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.pt,True,static_final_snapshot_graphs,100,minmax,32,2,0.2,4,300,40,0.001,1e-05,0.7,0.15,0.15,350,75,75,f788fa21bae289e32760def0643b1131a50e08ca7d6b36eb8422cc53ee60d6ad,0.11099718401829402,0.12620480743456275,-0.122071120735
