canonical_experiment_id,experiment_name,model,training_universe_count,seed,status,validation_result,configuration_path,experiment_directory,split_manifest_path,split_manifest_sha256,dataset_sha256,repository_commit,matrix_included,invalid_reason
u1000-top1000-sparse-evolve-train700-seed42,evolvegcn_h_u1000_top1000_sparse_train700_seed42_none_h32_l2_mean_temporal_mean_linear,EvolveGCNHRegressor,700,42,completed,PASS,configs/pilots/evolvegcn_h_u1000_top1000_sparse_train700_seed42_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1000_sparse_train700_seed42_none_h32_l2_mean_temporal_mean_linear,configs/splits/u1000_top1000_none_k8_sparse/seed42_train700.json,b56f35e4cbf1307344beaaf5b26cf181004d23d04fd719b678f1edb9e9924571,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,f7abf6cb4a47db9c431c381efddc4227ab14914b,True,
u1000-top1000-sparse-static-train700-seed42,static_gcn_u1000_top1000_sparse_train700_seed42_none_h32_l3_mean_mlp_final,StaticGCNRegressor,700,42,completed,PASS,configs/pilots/static_gcn_u1000_top1000_sparse_train700_seed42_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1000_sparse_train700_seed42_none_h32_l3_mean_mlp_final,configs/splits/u1000_top1000_none_k8_sparse/seed42_train700.json,b56f35e4cbf1307344beaaf5b26cf181004d23d04fd719b678f1edb9e9924571,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,f7abf6cb4a47db9c431c381efddc4227ab14914b,True,
u1000-top1000-sparse-evolve-train20-seed123,evolvegcn_h_u1000_top1000_sparse_train20_seed123_none_h32_l2_mean_temporal_mean_linear,EvolveGCNHRegressor,20,123,completed,PASS,configs/production/u1000_top1000_training_scaling/evolvegcn_h_u1000_top1000_sparse_train20_seed123_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1000_sparse_train20_seed123_none_h32_l2_mean_temporal_mean_linear,configs/splits/u1000_top1000_none_k8_sparse/seed123_train20.json,56a8eba792dde4d6158a45e507b9eabcfc5069c2f3500373293e9eda1f88ea13,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-static-train20-seed123,static_gcn_u1000_top1000_sparse_train20_seed123_none_h32_l3_mean_mlp_final,StaticGCNRegressor,20,123,completed,PASS,configs/production/u1000_top1000_training_scaling/static_gcn_u1000_top1000_sparse_train20_seed123_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1000_sparse_train20_seed123_none_h32_l3_mean_mlp_final,configs/splits/u1000_top1000_none_k8_sparse/seed123_train20.json,56a8eba792dde4d6158a45e507b9eabcfc5069c2f3500373293e9eda1f88ea13,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-evolve-train50-seed123,evolvegcn_h_u1000_top1000_sparse_train50_seed123_none_h32_l2_mean_temporal_mean_linear,EvolveGCNHRegressor,50,123,completed,PASS,configs/production/u1000_top1000_training_scaling/evolvegcn_h_u1000_top1000_sparse_train50_seed123_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1000_sparse_train50_seed123_none_h32_l2_mean_temporal_mean_linear,configs/splits/u1000_top1000_none_k8_sparse/seed123_train50.json,7b6ffc20ca3718c89c528080ba95e68dda5af4003f0c937602828f28994d1fef,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-static-train50-seed123,static_gcn_u1000_top1000_sparse_train50_seed123_none_h32_l3_mean_mlp_final,StaticGCNRegressor,50,123,completed,PASS,configs/production/u1000_top1000_training_scaling/static_gcn_u1000_top1000_sparse_train50_seed123_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1000_sparse_train50_seed123_none_h32_l3_mean_mlp_final,configs/splits/u1000_top1000_none_k8_sparse/seed123_train50.json,7b6ffc20ca3718c89c528080ba95e68dda5af4003f0c937602828f28994d1fef,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-evolve-train100-seed123,evolvegcn_h_u1000_top1000_sparse_train100_seed123_none_h32_l2_mean_temporal_mean_linear,EvolveGCNHRegressor,100,123,completed,PASS,configs/production/u1000_top1000_training_scaling/evolvegcn_h_u1000_top1000_sparse_train100_seed123_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1000_sparse_train100_seed123_none_h32_l2_mean_temporal_mean_linear,configs/splits/u1000_top1000_none_k8_sparse/seed123_train100.json,f3c114d5b61322df21f96a8aa709aa92c3d923bb58bcf090a1504aaaf792e1e2,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-static-train100-seed123,static_gcn_u1000_top1000_sparse_train100_seed123_none_h32_l3_mean_mlp_final,StaticGCNRegressor,100,123,completed,PASS,configs/production/u1000_top1000_training_scaling/static_gcn_u1000_top1000_sparse_train100_seed123_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1000_sparse_train100_seed123_none_h32_l3_mean_mlp_final,configs/splits/u1000_top1000_none_k8_sparse/seed123_train100.json,f3c114d5b61322df21f96a8aa709aa92c3d923bb58bcf090a1504aaaf792e1e2,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-evolve-train200-seed123,evolvegcn_h_u1000_top1000_sparse_train200_seed123_none_h32_l2_mean_temporal_mean_linear,EvolveGCNHRegressor,200,123,completed,PASS,configs/production/u1000_top1000_training_scaling/evolvegcn_h_u1000_top1000_sparse_train200_seed123_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1000_sparse_train200_seed123_none_h32_l2_mean_temporal_mean_linear,configs/splits/u1000_top1000_none_k8_sparse/seed123_train200.json,3adb87ac4de24f77c0dce462e7db46bae83b1993fb0a0127d24b99ab597182c3,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-static-train200-seed123,static_gcn_u1000_top1000_sparse_train200_seed123_none_h32_l3_mean_mlp_final,StaticGCNRegressor,200,123,completed,PASS,configs/production/u1000_top1000_training_scaling/static_gcn_u1000_top1000_sparse_train200_seed123_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1000_sparse_train200_seed123_none_h32_l3_mean_mlp_final,configs/splits/u1000_top1000_none_k8_sparse/seed123_train200.json,3adb87ac4de24f77c0dce462e7db46bae83b1993fb0a0127d24b99ab597182c3,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-evolve-train450-seed123,evolvegcn_h_u1000_top1000_sparse_train450_seed123_none_h32_l2_mean_temporal_mean_linear,EvolveGCNHRegressor,450,123,completed,PASS,configs/production/u1000_top1000_training_scaling/evolvegcn_h_u1000_top1000_sparse_train450_seed123_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1000_sparse_train450_seed123_none_h32_l2_mean_temporal_mean_linear,configs/splits/u1000_top1000_none_k8_sparse/seed123_train450.json,a884c0bca9f9983a1c8952715634342c4e954202212315182c99ad8fa2112bc5,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-static-train450-seed123,static_gcn_u1000_top1000_sparse_train450_seed123_none_h32_l3_mean_mlp_final,StaticGCNRegressor,450,123,completed,PASS,configs/production/u1000_top1000_training_scaling/static_gcn_u1000_top1000_sparse_train450_seed123_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1000_sparse_train450_seed123_none_h32_l3_mean_mlp_final,configs/splits/u1000_top1000_none_k8_sparse/seed123_train450.json,a884c0bca9f9983a1c8952715634342c4e954202212315182c99ad8fa2112bc5,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-evolve-train700-seed123,evolvegcn_h_u1000_top1000_sparse_train700_seed123_none_h32_l2_mean_temporal_mean_linear,EvolveGCNHRegressor,700,123,completed,PASS,configs/production/u1000_top1000_training_scaling/evolvegcn_h_u1000_top1000_sparse_train700_seed123_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1000_sparse_train700_seed123_none_h32_l2_mean_temporal_mean_linear,configs/splits/u1000_top1000_none_k8_sparse/seed123_train700.json,2e2d1043dd2c0517ab0084a0d31f09f3af7875a8bcb341c4a7362c6c419e04c4,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
