family,model,universes,top_n,normalization,k,hidden_dim,layers,dropout,graph_pooling,temporal_pooling,head,batch_size,epochs,patience,learning_rate,weight_decay,seed,split_signature,test_mae,compatibility,reuse,rationale,evidence_path
universe_scaling,Static GCN,50,100,minmax,8,32,2,0.2,mean,NA,established,4,200,40,0.001,1e-05,42,3f1bb07bf3ffd11b6f0c9ffae1a8aa481fde8a4f318e94f2e16df87a32429441,0.099469610490,incompatible,no,batch 4 and epochs 200 not 8 and 300,experiments/static_gcn_50u_seed42
universe_scaling,Static GCN,50,100,minmax,8,32,2,0.2,mean,NA,established,8,300,40,0.001,1e-05,123,6ac61478b05188ac895394062da6498738335cb5ccf804ffe8c845925588c86b,0.100156472996,compatible,yes,canonical reference,experiments/static_gcn_50u_seed123_final32
universe_scaling,Static GCN,50,100,minmax,8,32,2,0.2,mean,NA,established,4,200,40,0.001,1e-05,2025,c969d63ce51ff5a884437db64e8fc0edae0da953148e3a941b9c48c070b7cc1c,0.105666027404,incompatible,no,batch 4 and epochs 200 not 8 and 300,experiments/static_gcn_50u_seed2025
universe_scaling,Static GCN,100,100,minmax,8,32,2,0.2,mean,NA,established,4,200,40,0.001,1e-05,42,e99c4a8130ac456f25ffec8245a39d55fda67a75979eee665290e3053c8c0db5,0.075015483300,incompatible,no,batch 4 and epochs 200 not 8 and 300,experiments/static_gcn_100u_seed42
universe_scaling,Static GCN,100,100,minmax,8,32,2,0.2,mean,NA,established,8,300,40,0.001,1e-05,123,fe4c218591eb7a787b40e36732994236ab5c6d69668fe588e426085ff23e3400,0.108495170871,compatible,yes,canonical reference,experiments/static_gcn_100u_seed123_final32
universe_scaling,Static GCN,100,100,minmax,8,32,2,0.2,mean,NA,established,4,200,40,0.001,1e-05,2025,099813117bd76db005ba1398bb04562bc83efa390e98b3791a0e8df48b2e3a95,0.088563259443,incompatible,no,batch 4 and epochs 200 not 8 and 300,experiments/static_gcn_100u_seed2025
universe_scaling,Static GCN,200,100,minmax,8,32,2,0.2,mean,NA,established,8,300,40,0.001,1e-05,42,5a998020d49bb8a2eeb36455c600ff4a47e77da42364f8e96c82f5f0bba27d09,0.101359827071,compatible,yes,all fields match,experiments/static_gcn_200u_seed42_final32
universe_scaling,Static GCN,200,100,minmax,8,32,2,0.2,mean,NA,established,8,300,40,0.001,1e-05,123,2f800c5361b728c73cc6658d4222341e83385437e96b082a0b5fa58b0a09f85d,0.088001297911,compatible,yes,all fields match,experiments/static_gcn_200u_seed123_final32
universe_scaling,Static GCN,200,100,minmax,8,32,2,0.2,mean,NA,established,8,300,40,0.001,1e-05,2025,9c9add7da9313aa41b5791050b6ba6080da1e3c477ca72840f3cedc63bbbcdf8,0.114305173606,compatible,yes,all fields match,experiments/static_gcn_200u_seed2025_final32
universe_scaling,Static GCN,500,100,minmax,8,32,2,0.2,mean,NA,established,4,300,40,0.001,1e-05,42,c91d435dbe0e574965d3fd2cc151ddcef3936be1c59a77af07aa10c2f810928f,0.086671544115,incompatible_strict,conditional,batch 4 differs from lower-U canonical batch 8,experiments/static_gcn_500u_seed42_final32
universe_scaling,Static GCN,500,100,minmax,8,32,2,0.2,mean,NA,established,4,300,40,0.001,1e-05,123,a1aa56a63ca8a3761fb6d3c2015313457f6d3d91fde4d8de30825d930687156a,0.099357106487,incompatible_strict,conditional,batch 4 differs from lower-U canonical batch 8,experiments/static_gcn_500u_seed123_final32
universe_scaling,Static GCN,500,100,minmax,8,32,2,0.2,mean,NA,established,4,300,40,0.001,1e-05,2025,f788fa21bae289e32760def0643b1131a50e08ca7d6b36eb8422cc53ee60d6ad,0.110997184018,incompatible_strict,conditional,batch 4 differs from lower-U canonical batch 8,experiments/static_gcn_500u_seed2025_final32
top_n_scaling,EvolveGCN-H,500,100,minmax,8,32,2,0.2,mean,mean,mlp,4,300,40,0.001,1e-05,"42;123;2025",seed-specific,0.096962,compatible,yes,reference Top100,experiments/evolvegcn_h_500u_seed*_final32
top_n_scaling,EvolveGCN-H,500,200,minmax,8,32,2,0.2,mean,mean,mlp,4,300,40,0.001,1e-05,"42;123;2025",seed-specific,0.092174,compatible,yes,only Top-N changes,experiments/evolvegcn_h_500u_top200_h32_seed*
top_n_scaling,EvolveGCN-H,500,500,minmax,8,32,2,0.2,mean,mean,mlp,4,300,40,0.001,1e-05,"42;123;2025",seed-specific,0.086166,compatible,yes,legacy seed42 defaults are behaviorally identical,experiments/evolvegcn_h_500u_top500_h32_seed*
top_n_scaling,Static GCN,500,100,minmax,8,32,2,0.2,mean,NA,established,4,300,40,0.001,1e-05,"42;123;2025",seed-specific,0.099009,incompatible,no,L2 B4 versus L3 B8,experiments/static_gcn_500u_seed*_final32
top_n_scaling,Static GCN,500,200,minmax,8,32,3,0.2,mean,NA,established,8,300,40,0.001,1e-05,"42;123;2025",seed-specific,0.096985,compatible,yes,Top-N family reference,experiments/static_gcn_500u_top200_h32_seed*
top_n_scaling,Static GCN,500,500,minmax,8,32,3,0.2,mean,NA,established,8,300,40,0.001,1e-05,"42;123;2025",seed-specific,0.096039,compatible,yes,seed42 compatible legacy reference,experiments/static_gcn_*top500*minmax*
knn_ablation,EvolveGCN-H,500,100,minmax,"4;6;8;12",64,2,0.2,mean,mean,mlp,4,300,40,0.001,1e-05,"42;123;2025",seed-matched,"0.097773;0.096895;0.096562;0.097453",compatible,yes,k only changes,experiments/evolvegcn_h_500u_k*
knn_ablation,Static GCN,500,100,minmax,"4;6;8;12",64,3,0.2,mean,NA,established,8,300,40,0.001,1e-05,"42;123;2025",seed-matched,"0.097318;0.096765;0.096295;0.097433",compatible,yes,k only changes,experiments/static_gcn_500u_k*
