model,seed,train450_mae,train700_mae,train700_minus_train450_mae,train450_mse,train700_mse,train700_minus_train450_mse,train450_rmse,train700_rmse,train700_minus_train450_rmse,train450_r2,train700_r2,train700_minus_train450_r2,train450_prediction_sd_ratio,train700_prediction_sd_ratio,train700_minus_train450_prediction_sd_ratio
EvolveGCN-H,42,0.0660918232665,0.0554427435594,-0.0106490797071,0.00665467000738,0.00455320127654,-0.00210146873084,0.0815761607786,0.0674774130843,-0.0140987476944,0.546029103957,0.689387924408,0.14335882045,0.794865131076,0.830453861714,0.0355887306378
EvolveGCN-H,123,0.0589710599303,0.0617677034875,0.00279664355724,0.0053664351228,0.006748418167,0.0013819830442,0.0732559562275,0.0821487563326,0.00889280010515,0.587900805356,0.48177558694,-0.106125218416,0.840786498645,0.973052922462,0.132266423817
EvolveGCN-H,2025,0.0662719224816,0.0567172778335,-0.00955464464812,0.00682000851644,0.00561231539264,-0.0012076931238,0.082583342851,0.0749153882233,-0.00766795462771,0.529354741432,0.61269701896,0.0833422775281,0.733079437627,0.860458651365,0.127379213738
Static GCN,42,0.0462937918468,0.0431815903282,-0.00311220151868,0.00330823657938,0.00296434404143,-0.000343892537946,0.0575172720092,0.0544457899331,-0.00307148207615,0.7743174158,0.797777212217,0.0234597964167,0.899649800288,0.855014485294,-0.0446353149939
Static GCN,123,0.0389075239944,0.0376212808178,-0.00128624317658,0.00256838782549,0.00236720468176,-0.000201183143732,0.0506792642556,0.0486539277115,-0.00202533654409,0.802768405805,0.818217658355,0.0154492525505,0.897625967127,0.880413302385,-0.017212664743
Static GCN,2025,0.0412031413607,0.0382188344699,-0.00298430689087,0.0028882580995,0.00248229142072,-0.000405966678776,0.0537425166837,0.0498225994978,-0.00391991718586,0.800682803141,0.828698353568,0.0280155504266,0.825440114744,0.830604160307,0.00516404556274
