universe_id,universe_index,snapshot,path,exists,duplicate_count,total_rows,finite_mvir_rows,positive_mvir_rows,valid_builder_rows,omega_m,target_finite,top1000_feasible_without_padding,top1000_padding,top1000_padding_fraction,top1500_feasible_without_padding,top1500_padding,top1500_padding_fraction,top2000_feasible_without_padding,top2000_padding,top2000_padding_fraction
LH_6,6,0.20000,data/raw/CAMELS_SIMBA_1000U/LH_6_hlist_0.20000.list,True,0,1780,1780,1780,1780,0.1202,True,True,0,0.000000,True,0,0.000000,False,220,0.110000
LH_6,6,0.25000,data/raw/CAMELS_SIMBA_1000U/LH_6_hlist_0.25000.list,True,0,2795,2795,2795,2795,0.1202,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_6,6,0.51209,data/raw/CAMELS_SIMBA_1000U/LH_6_hlist_0.51209.list,True,0,4856,4856,4856,4856,0.1202,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_6,6,0.75065,data/raw/CAMELS_SIMBA_1000U/LH_6_hlist_0.75065.list,True,0,5216,5216,5216,5216,0.1202,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_6,6,1.00000,data/raw/CAMELS_SIMBA_1000U/LH_6_hlist_1.00000.list,True,0,5740,5740,5740,5740,0.1202,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_7,7,0.20000,data/raw/CAMELS_SIMBA_1000U/LH_7_hlist_0.20000.list,True,0,3220,3220,3220,3220,0.3438,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_7,7,0.25000,data/raw/CAMELS_SIMBA_1000U/LH_7_hlist_0.25000.list,True,0,4847,4847,4847,4847,0.3438,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_7,7,0.51209,data/raw/CAMELS_SIMBA_1000U/LH_7_hlist_0.51209.list,True,0,8071,8071,8071,8071,0.3438,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_7,7,0.75065,data/raw/CAMELS_SIMBA_1000U/LH_7_hlist_0.75065.list,True,0,7767,7767,7767,7767,0.3438,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_7,7,1.00000,data/raw/CAMELS_SIMBA_1000U/LH_7_hlist_1.00000.list,True,0,7817,7817,7817,7817,0.3438,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_8,8,0.20000,data/raw/CAMELS_SIMBA_1000U/LH_8_hlist_0.20000.list,True,0,6285,6285,6285,6285,0.4018,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_8,8,0.25000,data/raw/CAMELS_SIMBA_1000U/LH_8_hlist_0.25000.list,True,0,7756,7756,7756,7756,0.4018,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_8,8,0.51209,data/raw/CAMELS_SIMBA_1000U/LH_8_hlist_0.51209.list,True,0,7619,7619,7619,7619,0.4018,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_8,8,0.75065,data/raw/CAMELS_SIMBA_1000U/LH_8_hlist_0.75065.list,True,0,6554,6554,6554,6554,0.4018,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_8,8,1.00000,data/raw/CAMELS_SIMBA_1000U/LH_8_hlist_1.00000.list,True,0,6464,6464,6464,6464,0.4018,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_9,9,0.20000,data/raw/CAMELS_SIMBA_1000U/LH_9_hlist_0.20000.list,True,0,3003,3003,3003,3003,0.2062,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_9,9,0.25000,data/raw/CAMELS_SIMBA_1000U/LH_9_hlist_0.25000.list,True,0,4374,4374,4374,4374,0.2062,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_9,9,0.51209,data/raw/CAMELS_SIMBA_1000U/LH_9_hlist_0.51209.list,True,0,6452,6452,6452,6452,0.2062,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_9,9,0.75065,data/raw/CAMELS_SIMBA_1000U/LH_9_hlist_0.75065.list,True,0,6439,6439,6439,6439,0.2062,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_9,9,1.00000,data/raw/CAMELS_SIMBA_1000U/LH_9_hlist_1.00000.list,True,0,6776,6776,6776,6776,0.2062,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
