experiment_family,family_name,scientific_question,changed_variable,fixed_variables,comparison_quality,model,universes,top_n,normalization,graph_pooling,temporal_pooling,head_type,seeds,independent_seed_count,missing_seeds,mean_test_mae,std_test_mae,mean_test_rmse,std_test_rmse,mean_test_r2,std_test_r2,best_experiment,best_seed,best_test_mae,notebook_or_report,evidence_status,scientific_conclusion,remaining_uncertainty
debug_overfit,evolvegcn-h_u50_top100_norm-none_h32_l2_gpool-mean_tpool-mean_head-mlp,What evidence does this experiment family provide?,,model=EvolveGCNHRegressor;universes=50;top_n=100;normalization=none;hidden_dim=32;num_layers=2;graph_pooling=mean;temporal_pooling=mean;head_type=mlp,not_applicable,EvolveGCNHRegressor,50,100,none,mean,mean,mlp,42,1,"123,2025",0.124600037932,0,0.139702643617,0,-2.04534448745,0,debug_evolvegcn_h_50u_h32_dropout0_none_lr1e4,42,0.124600037932,,partial_seed_coverage,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
debug_overfit,evolvegcn-h_u50_top100_norm-zscore_h32_l2_gpool-mean_tpool-mean_head-mlp,What evidence does this experiment family provide?,,model=EvolveGCNHRegressor;universes=50;top_n=100;normalization=zscore;hidden_dim=32;num_layers=2;graph_pooling=mean;temporal_pooling=mean;head_type=mlp,not_applicable,EvolveGCNHRegressor,50,100,zscore,mean,mean,mlp,42,1,"123,2025",0.08073335886,0,0.0974153450758,0,-0.480750624818,0,debug_evolvegcn_h_50u_h32_dropout0_zscore,42,0.08073335886,,partial_seed_coverage,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
debug_overfit,static-gcn_u20_top100_norm-minmax_h32_l2_gpool-mean_tpool-na_head-na,What evidence does this experiment family provide?,,model=StaticGCNRegressor;universes=20;top_n=100;normalization=minmax;hidden_dim=32;num_layers=2;graph_pooling=mean;temporal_pooling=;head_type=,not_applicable,StaticGCNRegressor,20,100,minmax,mean,,,42,1,"123,2025",0.205896019936,0,0.208157236376,0,-18.7829600904,0,debug_overfit_static_gcn_20u_h32_dropout0,42,0.205896019936,,partial_seed_coverage,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
debug_overfit,static-gcn_u50_top100_norm-minmax_h32_l2_gpool-mean_tpool-na_head-na,What evidence does this experiment family provide?,,model=StaticGCNRegressor;universes=50;top_n=100;normalization=minmax;hidden_dim=32;num_layers=2;graph_pooling=mean;temporal_pooling=;head_type=,not_applicable,StaticGCNRegressor,50,100,minmax,mean,,,42,1,"123,2025",0.114965710044,0,0.124229041503,0,-1.40809406226,0,debug_overfit_static_gcn_50u_h32_dropout0,42,0.114965710044,,partial_seed_coverage,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
debug_overfit,static-gcn_u50_top100_norm-none_h32_l2_gpool-mean_tpool-na_head-na,What evidence does this experiment family provide?,,model=StaticGCNRegressor;universes=50;top_n=100;normalization=none;hidden_dim=32;num_layers=2;graph_pooling=mean;temporal_pooling=;head_type=,not_applicable,StaticGCNRegressor,50,100,none,mean,,,42,1,"123,2025",0.144618517719,0,0.179702917812,0,-4.03891967682,0,debug_static_gcn_50u_h32_dropout0_none_lr1e4,42,0.144618517719,,partial_seed_coverage,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
debug_overfit,static-gcn_u50_top100_norm-zscore_h32_l2_gpool-mean_tpool-na_head-na,What evidence does this experiment family provide?,,model=StaticGCNRegressor;universes=50;top_n=100;normalization=zscore;hidden_dim=32;num_layers=2;graph_pooling=mean;temporal_pooling=;head_type=,not_applicable,StaticGCNRegressor,50,100,zscore,mean,,,42,1,"123,2025",0.120119789243,0,0.135415648761,0,-1.86130983402,0,debug_static_gcn_50u_h32_dropout0_zscore,42,0.120119789243,,partial_seed_coverage,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
graph_convolution_ablation,static-gcn_u500_top500_norm-minmax_h32_l3_gpool-mean_tpool-na_head-na,What evidence does this experiment family provide?,conv_type,model=StaticGCNRegressor;universes=500;top_n=500;normalization=minmax;hidden_dim=32;num_layers=3;graph_pooling=mean;temporal_pooling=;head_type=,controlled,StaticGCNRegressor,500,500,minmax,mean,,,42,1,"123,2025",0.0872836575905,0,0.103024479949,0,-0.0334654591762,0,static_graphsage_500u_top500_final_snapshot_h32_seed42,42,0.0872836575905,outputs/canonical_experiment_summary.csv,partial_seed_coverage,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
graph_pooling_ablation,evolvegcn-h_u500_top500_norm-minmax_h32_l2_gpool-mean_max_tpool-mean_head-mlp,Does graph pooling/readout limit performance?,graph_pooling,model=EvolveGCNHRegressor;universes=500;top_n=500;normalization=minmax;hidden_dim=32;num_layers=2;graph_pooling=mean_max;temporal_pooling=mean;head_type=mlp,controlled,EvolveGCNHRegressor,500,500,minmax,mean_max,mean,mlp,42,1,"123,2025",0.0843721673886,0,0.101698722185,0,-0.00703855140801,0,evolvegcn_h_500u_top500_h32_seed42_meanmax,42,0.0843721673886,,partial_seed_coverage,MeanMax pooling underperforms mean pooling in the 750U Top1000 linear-head study.,Configs do not save git commit or exact command line.
graph_pooling_ablation,evolvegcn-h_u750_top1000_norm-none_h32_l2_gpool-mean_max_tpool-mean_head-linear,Does graph pooling/readout limit performance?,graph_pooling,model=EvolveGCNHRegressor;universes=750;top_n=1000;normalization=none;hidden_dim=32;num_layers=2;graph_pooling=mean_max;temporal_pooling=mean;head_type=linear,controlled,EvolveGCNHRegressor,750,1000,none,mean_max,mean,linear,"42,123,777,999,2025",5,,0.0809730958916,0.0101523749248,0.106169582908,0.0155781600973,0.165548158621,0.247201905153,evolvegcn_h_750u_top1000_h32_seed2025_none_linear_head_meanmax,2025,0.0718396260815,outputs/evolvegcn_750u_top1000_mean_vs_meanmax_pooling_results/seed_level_results.csv,complete,MeanMax pooling underperforms mean pooling in the 750U Top1000 linear-head study.,Configs do not save git commit or exact command line.
head_ablation,evolvegcn-h_u750_top1000_norm-none_h32_l2_gpool-mean_tpool-mean_head-linear,Does the regression head contribute to prediction collapse?,head_type,model=EvolveGCNHRegressor;universes=750;top_n=1000;normalization=none;hidden_dim=32;num_layers=2;graph_pooling=mean;temporal_pooling=mean;head_type=linear,controlled,EvolveGCNHRegressor,750,1000,none,mean,mean,linear,"42,123,777,999,2025",5,,0.0558430712689,0.00874848319311,0.071135535417,0.00980714490842,0.627696643389,0.10284816986,evolvegcn_h_750u_top1000_h32_seed999_none_linear_head,999,0.0467551182677,outputs/evolvegcn_750u_top1000_head_ablation_results/seed_level_results.csv;outputs/evolvegcn_750u_top1000_mean_vs_meanmax_pooling_results/seed_level_results.csv,complete,Linear head reduces repeated-prediction pathology versus MLP in the matched 750U Top1000 study.,Configs do not save git commit or exact command line.
head_ablation,evolvegcn-h_u750_top1000_norm-none_h32_l2_gpool-mean_tpool-mean_head-mlp,Does the regression head contribute to prediction collapse?,head_type,model=EvolveGCNHRegressor;universes=750;top_n=1000;normalization=none;hidden_dim=32;num_layers=2;graph_pooling=mean;temporal_pooling=mean;head_type=mlp,controlled,EvolveGCNHRegressor,750,1000,none,mean,mean,mlp,"42,123,777,999,2025",5,,0.0614038574681,0.00514241951732,0.0768196649038,0.00596492275791,0.571179751232,0.0573212460523,evolvegcn_h_750u_top1000_h32_seed123_none,123,0.0551141643554,outputs/evolvegcn_500top500_vs_750top1000_5seed_table.csv;outputs/evolvegcn_500top500_vs_750top1000_seed_table.csv;outputs/evolvegcn_500u_vs_750u_results/seed_level_results_clean.csv;outputs/evolvegcn_750u_top1000_5seed_summary.csv;outputs/evolvegcn_750u_top1000_head_ablation_results/seed_level_results.csv;outputs/evolvegcn_750u_top1000_mean_vs_meanmax_pooling_results/seed_level_results.csv,complete,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
hybrid_gnn_summary,evolvegcn-h_u500_top500_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp,Does adding summary features to the GNN help?,,model=EvolveGCNHRegressor;universes=500;top_n=500;normalization=minmax;hidden_dim=32;num_layers=2;graph_pooling=mean;temporal_pooling=mean;head_type=mlp,unknown,EvolveGCNHRegressor,500,500,minmax,mean,mean,mlp,42,1,"123,2025",0.0865369816621,7.45985169693e-05,0.102793201373,0.00126467213239,-0.0289085005633,0.0253155542712,evolvegcn_h_500u_top500_h32_seed42_hybrid_summary_norm,42,0.0864842325449,,partial_seed_coverage,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
knn_ablation,evolvegcn-h_u500_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp,Does changing k in kNN graph construction matter?,k,model=EvolveGCNHRegressor;universes=500;top_n=100;normalization=minmax;hidden_dim=32;num_layers=2;graph_pooling=mean;temporal_pooling=mean;head_type=mlp,controlled,EvolveGCNHRegressor,500,100,minmax,mean,mean,mlp,"42,123,2025",3,,0.0961808881164,0.00901562028418,0.112708233515,0.00947684962794,-0.0229794401923,0.00760662685787,evolvegcn_h_u500_top100_norm-minmax_k12_h32_l2_factorial_seed42,42,0.0865913281838,,complete,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
knn_ablation,evolvegcn-h_u500_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp,Does changing k in kNN graph construction matter?,k,model=EvolveGCNHRegressor;universes=500;top_n=100;normalization=minmax;hidden_dim=32;num_layers=2;graph_pooling=mean;temporal_pooling=mean;head_type=mlp,controlled,EvolveGCNHRegressor,500,100,minmax,mean,mean,mlp,"42,123,2025",3,,0.0967075575391,0.00994798439595,0.112853399586,0.0101870190298,-0.024959947123,0.0178995608294,evolvegcn_h_u500_top100_norm-minmax_k4_h32_l2_factorial_seed42,42,0.0863554086288,,complete,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
