universe_id,universe_index,snapshot,path,status,error,raw_halo_count,valid_real_halo_count,at_least_1500,padded_slots_top1500,padded_slot_percentage
LH_7,7,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_7_hlist_0.75065.list,PASS,,7767,7767,True,0,0.0
LH_7,7,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_7_hlist_1.00000.list,PASS,,7817,7817,True,0,0.0
LH_8,8,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_8_hlist_0.20000.list,PASS,,6285,6285,True,0,0.0
LH_8,8,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_8_hlist_0.25000.list,PASS,,7756,7756,True,0,0.0
LH_8,8,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_8_hlist_0.51209.list,PASS,,7619,7619,True,0,0.0
LH_8,8,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_8_hlist_0.75065.list,PASS,,6554,6554,True,0,0.0
LH_8,8,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_8_hlist_1.00000.list,PASS,,6464,6464,True,0,0.0
LH_9,9,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_9_hlist_0.20000.list,PASS,,3003,3003,True,0,0.0
LH_9,9,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_9_hlist_0.25000.list,PASS,,4374,4374,True,0,0.0
LH_9,9,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_9_hlist_0.51209.list,PASS,,6452,6452,True,0,0.0
LH_9,9,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_9_hlist_0.75065.list,PASS,,6439,6439,True,0,0.0
LH_9,9,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_9_hlist_1.00000.list,PASS,,6776,6776,True,0,0.0
