universe_id,omega_m_0.20000,omega_m_0.25000,omega_m_0.51209,omega_m_0.75065,omega_m_1.00000,minimum,maximum,spread,consistent,catalogues_checked,header_key
LH_0,0.1462,0.1462,0.1462,0.1462,0.1462,0.1462,0.1462,0,True,5,Omega_M
LH_1,0.1198,0.1198,0.1198,0.1198,0.1198,0.1198,0.1198,0,True,5,Omega_M
LH_2,0.42259999999999998,0.42259999999999998,0.42259999999999998,0.42259999999999998,0.42259999999999998,0.42259999999999998,0.42259999999999998,0,True,5,Omega_M
LH_3,0.23980000000000001,0.23980000000000001,0.23980000000000001,0.23980000000000001,0.23980000000000001,0.23980000000000001,0.23980000000000001,0,True,5,Omega_M
LH_4,0.37419999999999998,0.37419999999999998,0.37419999999999998,0.37419999999999998,0.37419999999999998,0.37419999999999998,0.37419999999999998,0,True,5,Omega_M
LH_5,0.1174,0.1174,0.1174,0.1174,0.1174,0.1174,0.1174,0,True,5,Omega_M
LH_6,0.1202,0.1202,0.1202,0.1202,0.1202,0.1202,0.1202,0,True,5,Omega_M
LH_7,0.34379999999999999,0.34379999999999999,0.34379999999999999,0.34379999999999999,0.34379999999999999,0.34379999999999999,0.34379999999999999,0,True,5,Omega_M
LH_8,0.40179999999999999,0.40179999999999999,0.40179999999999999,0.40179999999999999,0.40179999999999999,0.40179999999999999,0.40179999999999999,0,True,5,Omega_M
LH_9,0.20619999999999999,0.20619999999999999,0.20619999999999999,0.20619999999999999,0.20619999999999999,0.20619999999999999,0.20619999999999999,0,True,5,Omega_M
LH_10,0.16020000000000001,0.16020000000000001,0.16020000000000001,0.16020000000000001,0.16020000000000001,0.16020000000000001,0.16020000000000001,0,True,5,Omega_M
LH_11,0.47539999999999999,0.47539999999999999,0.47539999999999999,0.47539999999999999,0.47539999999999999,0.47539999999999999,0.47539999999999999,0,True,5,Omega_M
LH_12,0.29139999999999999,0.29139999999999999,0.29139999999999999,0.29139999999999999,0.29139999999999999,0.29139999999999999,0.29139999999999999,0,True,5,Omega_M
LH_13,0.26900000000000002,0.26900000000000002,0.26900000000000002,0.26900000000000002,0.26900000000000002,0.26900000000000002,0.26900000000000002,0,True,5,Omega_M
LH_14,0.39460000000000001,0.39460000000000001,0.39460000000000001,0.39460000000000001,0.39460000000000001,0.39460000000000001,0.39460000000000001,0,True,5,Omega_M
LH_15,0.1762,0.1762,0.1762,0.1762,0.1762,0.1762,0.1762,0,True,5,Omega_M
LH_16,0.1658,0.1658,0.1658,0.1658,0.1658,0.1658,0.1658,0,True,5,Omega_M
LH_17,0.2802,0.2802,0.2802,0.2802,0.2802,0.2802,0.2802,0,True,5,Omega_M
LH_18,0.45779999999999998,0.45779999999999998,0.45779999999999998,0.45779999999999998,0.45779999999999998,0.45779999999999998,0.45779999999999998,0,True,5,Omega_M
LH_19,0.30620000000000003,0.30620000000000003,0.30620000000000003,0.30620000000000003,0.30620000000000003,0.30620000000000003,0.30620000000000003,0,True,5,Omega_M
