epoch,train_mse,val_mse,best_val_mse,best_epoch,learning_rate
1,0.01850129927375487,0.01780107617378235,0.01780107617378235,1,0.001
2,0.013919796994222062,0.01772150844335556,0.01772150844335556,2,0.001
3,0.015108387345182044,0.015324497098724047,0.015324497098724047,3,0.001
4,0.013683781686371991,0.015389631440242132,0.015324497098724047,3,0.001
5,0.013719158672860691,0.01576585496465365,0.015324497098724047,3,0.001
6,0.014559318271598646,0.01617267740269502,0.015324497098724047,3,0.001
7,0.012818357674404979,0.01549244870742162,0.015324497098724047,3,0.001
8,0.012779300965900933,0.015378240495920181,0.015324497098724047,3,0.001
9,0.013442152312823705,0.015342428162693978,0.015324497098724047,3,0.001
10,0.012774452819888081,0.015510019411643346,0.015324497098724047,3,0.001
11,0.01263076891856534,0.015374176080028217,0.015324497098724047,3,0.001
12,0.012790958822837898,0.015408858905235927,0.015324497098724047,3,0.001
13,0.013765851009104933,0.015572444597880045,0.015324497098724047,3,0.001
14,0.01457310686154025,0.015447541698813438,0.015324497098724047,3,0.0005
15,0.012508354681943144,0.015531609455744425,0.015324497098724047,3,0.0005
16,0.0138810451275536,0.015492852280537288,0.015324497098724047,3,0.0005
17,0.013237320202668863,0.01543844739596049,0.015324497098724047,3,0.0005
18,0.011992076174023428,0.015422274172306061,0.015324497098724047,3,0.0005
19,0.012849353900777974,0.015481639156738917,0.015324497098724047,3,0.0005
20,0.01325175923162273,0.015506370241443317,0.015324497098724047,3,0.0005
21,0.01339251808822155,0.015402757500608762,0.015324497098724047,3,0.0005
22,0.012292707668218229,0.015489123264948527,0.015324497098724047,3,0.0005
23,0.012467586215851562,0.01549598661561807,0.015324497098724047,3,0.0005
24,0.012788018617512924,0.015454800426959991,0.015324497098724047,3,0.0005
25,0.012831757962703704,0.015472176795204481,0.015324497098724047,3,0.00025
26,0.012663940406803574,0.015430950745940208,0.015324497098724047,3,0.00025
27,0.013073231013757841,0.015401811897754669,0.015324497098724047,3,0.00025
28,0.012739710988742964,0.015388492991526921,0.015324497098724047,3,0.00025
29,0.012218629236200026,0.015412166342139244,0.015324497098724047,3,0.00025
30,0.013315452236149992,0.015351709723472596,0.015324497098724047,3,0.00025
