graph_pooling,seed_count,seeds,mean_test_mae,sd_test_mae,median_test_mae,mean_test_rmse,sd_test_rmse,mean_test_r2,sd_test_r2,mean_prediction_sd_ratio,sd_prediction_sd_ratio,mean_repeated_prediction_fraction,undefined_pearson_count
mean,5,42|123|777|999|2025,0.05584307126886216,0.008748483193105712,0.052323977819722686,0.0711355354170225,0.00980714490842228,0.6276966433892252,0.102848169860433,0.8624567558225089,0.13488153285141563,0.0,0
mean_max,5,42|123|777|999|2025,0.0809730958916358,0.010152374924769416,0.07537395588645887,0.10616958290830417,0.015578160097337158,0.16554815862097186,0.24720190515344975,0.8634783937651916,0.2521976900325038,0.0,0
