seed,split_signature,mean_experiment_name,mean_max_experiment_name,mae_mean_max_minus_mean,rmse_mean_max_minus_mean,r2_mean_max_minus_mean,prediction_sd_ratio_mean_max_minus_mean,repeat_fraction_mean_max_minus_mean,mean_paired_mae_difference,sd_paired_mae_difference,median_paired_mae_difference,minimum_paired_mae_difference,maximum_paired_mae_difference,mae_negative_count,mae_zero_count,mae_positive_count,mean_paired_rmse_difference,sd_paired_rmse_difference,median_paired_rmse_difference,minimum_paired_rmse_difference,maximum_paired_rmse_difference,rmse_negative_count,rmse_zero_count,rmse_positive_count,mean_paired_r2_difference,sd_paired_r2_difference,median_paired_r2_difference,minimum_paired_r2_difference,maximum_paired_r2_difference,r2_negative_count,r2_zero_count,r2_positive_count,mean_paired_prediction_sd_ratio_difference,sd_paired_prediction_sd_ratio_difference,median_paired_prediction_sd_ratio_difference,minimum_paired_prediction_sd_ratio_difference,maximum_paired_prediction_sd_ratio_difference,prediction_sd_ratio_negative_count,prediction_sd_ratio_zero_count,prediction_sd_ratio_positive_count,mean_paired_repeat_fraction_difference,sd_paired_repeat_fraction_difference,median_paired_repeat_fraction_difference,minimum_paired_repeat_fraction_difference,maximum_paired_repeat_fraction_difference,repeat_fraction_negative_count,repeat_fraction_zero_count,repeat_fraction_positive_count,mae_seeds_favouring_mean_max,mae_seeds_favouring_mean
42,e27e32ef2d9482fbe0719a56555f66075f7a23e178c15848a0227660ea0df7d9,evolvegcn_h_750u_top1000_h32_seed42_none_linear_head,evolvegcn_h_750u_top1000_h32_seed42_none_linear_head_meanmax,0.041154798379733196,0.0505627211901114,-0.6016207244327334,-0.009396199254787407,0.0,0.025130024622773646,0.011204041516997507,0.024842808236233638,0.009708949285953193,0.041154798379733196,0,0,5,0.03503404749128167,0.01744862192804832,0.03793361482748843,0.007757054078009112,0.0505627211901114,0,0,5,-0.4621484847682533,0.24240561819563428,-0.5749454717461432,-0.6894080677361604,-0.08776348096533437,5,0,0,0.0010216379426827738,0.2955747198061088,-0.027855292991504466,-0.23765365761859913,0.49561577865434614,4,0,1,0.0,0.0,0.0,0.0,0.0,0,5,0,0,5
123,bd9367b034a0ac7ebc07fe79c19a62d51f17402cb7e5dba98d1748e5168f72f1,evolvegcn_h_750u_top1000_h32_seed123_none_linear_head,evolvegcn_h_750u_top1000_h32_seed123_none_linear_head_meanmax,0.023049978066736185,0.049078347073456624,-0.6894080677361604,-0.027855292991504466,0.0,0.025130024622773646,0.011204041516997507,0.024842808236233638,0.009708949285953193,0.041154798379733196,0,0,5,0.03503404749128167,0.01744862192804832,0.03793361482748843,0.007757054078009112,0.0505627211901114,0,0,5,-0.4621484847682533,0.24240561819563428,-0.5749454717461432,-0.6894080677361604,-0.08776348096533437,5,0,0,0.0010216379426827738,0.2955747198061088,-0.027855292991504466,-0.23765365761859913,0.49561577865434614,4,0,1,0.0,0.0,0.0,0.0,0.0,0,5,0,0,5
777,6e71569b7785aa0483b56e359c68bac69e9c997617880855b75fd2bedcd84dae,evolvegcn_h_750u_top1000_h32_seed777_none_linear_head,evolvegcn_h_750u_top1000_h32_seed777_none_linear_head_meanmax,0.024842808236233638,0.03793361482748843,-0.5749454717461432,0.49561577865434614,0.0,0.025130024622773646,0.011204041516997507,0.024842808236233638,0.009708949285953193,0.041154798379733196,0,0,5,0.03503404749128167,0.01744862192804832,0.03793361482748843,0.007757054078009112,0.0505627211901114,0,0,5,-0.4621484847682533,0.24240561819563428,-0.5749454717461432,-0.6894080677361604,-0.08776348096533437,5,0,0,0.0010216379426827738,0.2955747198061088,-0.027855292991504466,-0.23765365761859913,0.49561577865434614,4,0,1,0.0,0.0,0.0,0.0,0.0,0,5,0,0,5
999,27af8142ba8da15f65baf969086cca0e3b72e105c29a41ac778d6c702a8cb678,evolvegcn_h_750u_top1000_h32_seed999_none_linear_head,evolvegcn_h_750u_top1000_h32_seed999_none_linear_head_meanmax,0.026893589145212025,0.029838500287342765,-0.3570046789608954,-0.23765365761859913,0.0,0.025130024622773646,0.011204041516997507,0.024842808236233638,0.009708949285953193,0.041154798379733196,0,0,5,0.03503404749128167,0.01744862192804832,0.03793361482748843,0.007757054078009112,0.0505627211901114,0,0,5,-0.4621484847682533,0.24240561819563428,-0.5749454717461432,-0.6894080677361604,-0.08776348096533437,5,0,0,0.0010216379426827738,0.2955747198061088,-0.027855292991504466,-0.23765365761859913,0.49561577865434614,4,0,1,0.0,0.0,0.0,0.0,0.0,0,5,0,0,5
2025,3f80461e5ec26ee906f6c1781f34d40877521ac854d93f1fb09783b18b8d24a7,evolvegcn_h_750u_top1000_h32_seed2025_none_linear_head,evolvegcn_h_750u_top1000_h32_seed2025_none_linear_head_meanmax,0.009708949285953193,0.007757054078009112,-0.08776348096533437,-0.21560243907604126,0.0,0.025130024622773646,0.011204041516997507,0.024842808236233638,0.009708949285953193,0.041154798379733196,0,0,5,0.03503404749128167,0.01744862192804832,0.03793361482748843,0.007757054078009112,0.0505627211901114,0,0,5,-0.4621484847682533,0.24240561819563428,-0.5749454717461432,-0.6894080677361604,-0.08776348096533437,5,0,0,0.0010216379426827738,0.2955747198061088,-0.027855292991504466,-0.23765365761859913,0.49561577865434614,4,0,1,0.0,0.0,0.0,0.0,0.0,0,5,0,0,5
