universe_id,target,logm_mean,logm_std,logm_min,logm_max,logm_median,x_std,y_std,z_std,position_spread,vx_mean,vy_mean,vz_mean,vx_std,vy_std,vz_std,velocity_spread,velocity_norm_mean,velocity_norm_std
LH_26,0.17980000376701355,0.23448654,0.23898533,0.0,1.0,0.15981466,0.28191704,0.22765766,0.21800555,0.24252672,0.6404812,0.43412033,0.48345643,0.13865675,0.15950578,0.19297926,0.16371393,0.94308716,0.1578046
LH_27,0.38179999589920044,0.21003123,0.20101728,0.0,1.0,0.14253092,0.26009938,0.3258381,0.30039313,0.29544353,0.27647066,0.4463335,0.5689777,0.12881626,0.1670638,0.15997256,0.15195088,0.8060677,0.14048187
LH_28,0.2669999897480011,0.24994986,0.22312489,0.0,1.0,0.19497173,0.33764002,0.3042229,0.28091252,0.30759183,0.68951005,0.39946187,0.56954384,0.15021293,0.13235897,0.16090992,0.14782728,0.9988972,0.16599254
LH_29,0.15700000524520874,0.23021717,0.21650383,0.0,1.0,0.18515491,0.2918126,0.2844794,0.31909308,0.2984617,0.47779065,0.3937825,0.4759253,0.15331468,0.15755452,0.16370718,0.15819213,0.8107128,0.16651428
LH_30,0.13699999451637268,0.21650817,0.19070435,0.0,1.0,0.18292199,0.2725848,0.19122814,0.27433416,0.24604905,0.39592934,0.4518775,0.36946723,0.16865945,0.16789612,0.16100648,0.16585404,0.7395656,0.18182518
LH_31,0.49779999256134033,0.2703964,0.22228646,0.0,1.0,0.19789398,0.28254628,0.33640727,0.2937409,0.3042315,0.51542866,0.417881,0.4898758,0.18244088,0.14972425,0.17507629,0.16908048,0.85828096,0.17313933
LH_32,0.29980000853538513,0.20603807,0.2036734,0.0,1.0,0.13215429,0.29115066,0.28957942,0.29984167,0.29352394,0.3615773,0.3690137,0.47017056,0.12092767,0.13178664,0.13511404,0.12927613,0.72366977,0.12049328
LH_33,0.47780001163482666,0.17462015,0.16672692,0.0,1.0,0.12663352,0.25642154,0.32537696,0.31707162,0.29962337,0.4868631,0.65365845,0.35722348,0.17856786,0.1367173,0.13044205,0.14857574,0.91780424,0.1309277
LH_34,0.25380000472068787,0.21421458,0.20405366,0.0,1.0,0.14557898,0.33145368,0.34955636,0.25195408,0.31098804,0.2972606,0.5091088,0.4862076,0.13378784,0.21250205,0.18616377,0.17748456,0.80327684,0.19082183
LH_35,0.272599995136261,0.22955364,0.2052802,0.0,1.0,0.17718537,0.2712674,0.30584013,0.29350677,0.29020476,0.3125901,0.5341913,0.46298206,0.15440583,0.2041188,0.17659885,0.17837448,0.8124407,0.18454893
LH_36,0.28940001130104065,0.15918547,0.16714542,0.0,1.0,0.10913013,0.2641165,0.27503267,0.31286258,0.2840039,0.486727,0.3576232,0.7223378,0.14716983,0.12229495,0.12824962,0.13257147,0.96227664,0.11685947
LH_37,0.11100000143051147,0.217144,0.18088302,0.0,1.0,0.17130281,0.29464853,0.35029715,0.26153457,0.3021601,0.50482965,0.47525048,0.58965486,0.15795027,0.21537462,0.16418658,0.17917049,0.947855,0.16814186
LH_38,0.4618000090122223,0.2709266,0.21977147,0.0,1.0,0.21898845,0.34606418,0.31480575,0.31174532,0.32420507,0.43097085,0.49202797,0.35780334,0.17123678,0.15842561,0.13984987,0.1565041,0.7776778,0.15826078
