head_type,seed,universe_id,target,residual
linear,123,LH_694,0.44699999690055847,-0.07027995586395264
linear,123,LH_270,0.11659999936819077,0.06675279885530472
linear,123,LH_329,0.20499999821186066,0.015930846333503723
linear,123,LH_208,0.2937999963760376,0.034483522176742554
linear,123,LH_249,0.4666000008583069,-0.004446893930435181
linear,123,LH_518,0.3765999972820282,0.020353734493255615
linear,123,LH_630,0.3718000054359436,0.03126859664916992
linear,123,LH_95,0.17059999704360962,0.03209683299064636
linear,123,LH_738,0.38580000400543213,0.037331730127334595
linear,123,LH_230,0.10300000011920929,-0.014208242297172546
linear,123,LH_588,0.3553999960422516,0.03420516848564148
linear,123,LH_558,0.33820000290870667,0.0364898145198822
linear,123,LH_107,0.4185999929904938,-0.05271449685096741
linear,123,LH_512,0.4205999970436096,0.08128625154495239
linear,123,LH_704,0.4681999981403351,-0.10473048686981201
linear,123,LH_140,0.3725999891757965,0.08179154992103577
linear,123,LH_527,0.3853999972343445,0.11288699507713318
linear,123,LH_584,0.16220000386238098,0.15883386135101318
linear,123,LH_332,0.3353999853134155,-0.03689652681350708
linear,123,LH_703,0.1777999997138977,0.06964883208274841
linear,123,LH_162,0.47380000352859497,0.10087674856185913
linear,123,LH_28,0.2669999897480011,0.003673076629638672
linear,123,LH_439,0.4957999885082245,-0.02299240231513977
linear,123,LH_311,0.10859999805688858,0.08201544731855392
linear,123,LH_461,0.4410000145435333,-0.12353143095970154
linear,123,LH_460,0.1469999998807907,0.030023306608200073
linear,123,LH_357,0.3970000147819519,0.02740579843521118
linear,123,LH_633,0.3962000012397766,-0.05854499340057373
linear,123,LH_465,0.2985999882221222,-0.009407788515090942
linear,123,LH_139,0.41819998621940613,0.0033216774463653564
linear,123,LH_63,0.14180000126361847,0.0856761485338211
linear,123,LH_442,0.4733999967575073,-0.1478460431098938
linear,123,LH_395,0.46219998598098755,0.026346713304519653
linear,123,LH_170,0.35580000281333923,0.016538143157958984
linear,123,LH_122,0.3001999855041504,0.03502917289733887
linear,123,LH_529,0.48539999127388,-0.05353653430938721
linear,123,LH_671,0.4325999915599823,0.14647987484931946
linear,123,LH_547,0.1809999942779541,0.049910515546798706
linear,123,LH_714,0.4869999885559082,-0.011037886142730713
linear,123,LH_377,0.18780000507831573,0.06823863089084625
linear,123,LH_398,0.13459999859333038,0.08599406480789185
linear,123,LH_712,0.18019999563694,-0.10606464743614197
linear,123,LH_149,0.10899999737739563,0.050512656569480896
linear,123,LH_313,0.1242000013589859,0.031240656971931458
linear,123,LH_550,0.453000009059906,0.055613577365875244
linear,123,LH_666,0.42340001463890076,0.12299802899360657
linear,123,LH_531,0.17260000109672546,0.06533004343509674
linear,123,LH_58,0.19140000641345978,0.05981041491031647
linear,123,LH_80,0.4546000063419342,-0.0045070648193359375
linear,123,LH_240,0.24379999935626984,0.015213176608085632
linear,123,LH_381,0.4390000104904175,-0.08005979657173157
