model,head_type,seed,target,prediction,residual,plotted_y,test_mae,test_rmse,test_r2,test_pearson
EvolveGCN-H,linear,123,0.44699999690055847,0.37672004103660583,-0.07027995586395264,0.37672004103660583,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.11659999936819077,0.18335279822349548,0.06675279885530472,0.18335279822349548,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.20499999821186066,0.22093084454536438,0.015930846333503723,0.22093084454536438,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.2937999963760376,0.32828351855278015,0.034483522176742554,0.32828351855278015,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.4666000008583069,0.4621531069278717,-0.004446893930435181,0.4621531069278717,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.3765999972820282,0.3969537317752838,0.020353734493255615,0.3969537317752838,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.3718000054359436,0.4030686020851135,0.03126859664916992,0.4030686020851135,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.17059999704360962,0.20269683003425598,0.03209683299064636,0.20269683003425598,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.38580000400543213,0.4231317341327667,0.037331730127334595,0.4231317341327667,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.10300000011920929,0.08879175782203674,-0.014208242297172546,0.08879175782203674,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.3553999960422516,0.38960516452789307,0.03420516848564148,0.38960516452789307,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.33820000290870667,0.37468981742858887,0.0364898145198822,0.37468981742858887,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.4185999929904938,0.36588549613952637,-0.05271449685096741,0.36588549613952637,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.4205999970436096,0.501886248588562,0.08128625154495239,0.501886248588562,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.4681999981403351,0.36346951127052307,-0.10473048686981201,0.36346951127052307,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.3725999891757965,0.4543915390968323,0.08179154992103577,0.4543915390968323,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.3853999972343445,0.49828699231147766,0.11288699507713318,0.49828699231147766,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.16220000386238098,0.32103386521339417,0.15883386135101318,0.32103386521339417,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.3353999853134155,0.29850345849990845,-0.03689652681350708,0.29850345849990845,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.1777999997138977,0.24744883179664612,0.06964883208274841,0.24744883179664612,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.47380000352859497,0.5746767520904541,0.10087674856185913,0.5746767520904541,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.2669999897480011,0.27067306637763977,0.003673076629638672,0.27067306637763977,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.4957999885082245,0.4728075861930847,-0.02299240231513977,0.4728075861930847,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.10859999805688858,0.1906154453754425,0.08201544731855392,0.1906154453754425,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.4410000145435333,0.3174685835838318,-0.12353143095970154,0.3174685835838318,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.1469999998807907,0.17702330648899078,0.030023306608200073,0.17702330648899078,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.3970000147819519,0.4244058132171631,0.02740579843521118,0.4244058132171631,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.3962000012397766,0.3376550078392029,-0.05854499340057373,0.3376550078392029,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.2985999882221222,0.28919219970703125,-0.009407788515090942,0.28919219970703125,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.41819998621940613,0.4215216636657715,0.0033216774463653564,0.4215216636657715,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.14180000126361847,0.22747614979743958,0.0856761485338211,0.22747614979743958,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.4733999967575073,0.3255539536476135,-0.1478460431098938,0.3255539536476135,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.46219998598098755,0.4885466992855072,0.026346713304519653,0.4885466992855072,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.35580000281333923,0.3723381459712982,0.016538143157958984,0.3723381459712982,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.3001999855041504,0.33522915840148926,0.03502917289733887,0.33522915840148926,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.48539999127388,0.4318634569644928,-0.05353653430938721,0.4318634569644928,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.4325999915599823,0.5790798664093018,0.14647987484931946,0.5790798664093018,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.1809999942779541,0.2309105098247528,0.049910515546798706,0.2309105098247528,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.4869999885559082,0.4759621024131775,-0.011037886142730713,0.4759621024131775,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.18780000507831573,0.256038635969162,0.06823863089084625,0.256038635969162,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.13459999859333038,0.22059406340122223,0.08599406480789185,0.22059406340122223,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.18019999563694,0.07413534820079803,-0.10606464743614197,0.07413534820079803,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.10899999737739563,0.15951265394687653,0.050512656569480896,0.15951265394687653,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.1242000013589859,0.15544065833091736,0.031240656971931458,0.15544065833091736,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.453000009059906,0.5086135864257812,0.055613577365875244,0.5086135864257812,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.42340001463890076,0.5463980436325073,0.12299802899360657,0.5463980436325073,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.17260000109672546,0.2379300445318222,0.06533004343509674,0.2379300445318222,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.19140000641345978,0.25121042132377625,0.05981041491031647,0.25121042132377625,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.4546000063419342,0.45009294152259827,-0.0045070648193359375,0.45009294152259827,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.24379999935626984,0.25901317596435547,0.015213176608085632,0.25901317596435547,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.4390000104904175,0.3589402139186859,-0.08005979657173157,0.3589402139186859,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.35019999742507935,0.3365064561367035,-0.013693541288375854,0.3365064561367035,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.2921999990940094,0.3202900290489197,0.02809002995491028,0.3202900290489197,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.131400004029274,0.19736000895500183,0.06596000492572784,0.19736000895500183,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.42419999837875366,0.6492594480514526,0.22505944967269897,0.6492594480514526,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.19660000503063202,0.24610255658626556,0.049502551555633545,0.24610255658626556,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.15299999713897705,0.10832224786281586,-0.044677749276161194,0.10832224786281586,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
