metric,mean_difference,sd_difference
MAE,-0.0055607861992138545,0.005264967929430446
RMSE,-0.005684129486770566,0.006821161939533913
R²,0.05651689215689888,0.07219742617915485
SD ratio,0.08316650212625096,0.09215145923913635
