seed,head_type,test_mae
42,linear,0.05029454063716812
42,mlp,0.061760590221751385
123,linear,0.052323977819722686
123,mlp,0.0551141643553824
777,linear,0.06771104282407618
777,mlp,0.0671217438222757
999,linear,0.046755118267749675
999,mlp,0.05742647932536567
2025,linear,0.062130676795594135
2025,mlp,0.06559630961560492
