epoch,train_mse,val_mse,best_val_mse,best_epoch,learning_rate
1,0.11955464252403804,0.015664759029944738,0.015664759029944738,1,0.001
2,0.03196506163903645,0.018250276570518812,0.015664759029944738,1,0.001
3,0.025853312308234826,0.01913587172826131,0.015664759029944738,1,0.001
4,0.022552115853343692,0.01587652735412121,0.015664759029944738,1,0.001
5,0.0188946017782603,0.015322246452172597,0.015322246452172597,5,0.001
6,0.018059339337050916,0.014455306505163511,0.014455306505163511,6,0.001
7,0.016116569989493915,0.014441730231046676,0.014441730231046676,7,0.001
8,0.015065248001899038,0.014171814322471618,0.014171814322471618,8,0.001
9,0.01481308322932039,0.014593137229482333,0.014171814322471618,8,0.001
10,0.014345337993332317,0.014454797903696696,0.014171814322471618,8,0.001
11,0.014090343261403697,0.01444837252298991,0.014171814322471618,8,0.001
12,0.01379229003031339,0.014148913025856018,0.014148913025856018,12,0.001
13,0.013697122954098242,0.01407511164744695,0.01407511164744695,13,0.001
14,0.013587582840451173,0.014033092906077703,0.014033092906077703,14,0.001
15,0.01378657100988286,0.01403423140446345,0.014033092906077703,14,0.001
16,0.01351807626230376,0.014070620263616244,0.014033092906077703,14,0.001
17,0.013688713226999554,0.01406358058253924,0.014033092906077703,14,0.001
18,0.013406796756067447,0.014081219832102457,0.014033092906077703,14,0.001
19,0.013051595602716718,0.014039206628998121,0.014033092906077703,14,0.001
20,0.013535825242953641,0.014076909422874451,0.014033092906077703,14,0.001
21,0.013497831518096583,0.014068113615115483,0.014033092906077703,14,0.001
22,0.013217842456485544,0.014048972725868225,0.014033092906077703,14,0.001
23,0.012910126064504895,0.014045646140972774,0.014033092906077703,14,0.001
24,0.013787525189774377,0.013835395773251852,0.013835395773251852,24,0.001
25,0.01342888836615852,0.014102352981766065,0.013835395773251852,24,0.001
26,0.01310766897031239,0.014027357995510102,0.013835395773251852,24,0.001
27,0.013533812213156905,0.014044266268610954,0.013835395773251852,24,0.001
28,0.01342282493199621,0.014075114031632741,0.013835395773251852,24,0.001
29,0.01340369884456907,0.014070074210564295,0.013835395773251852,24,0.001
30,0.013326301989810807,0.014070278430978456,0.013835395773251852,24,0.001
31,0.013122902076159204,0.014082468251387278,0.013835395773251852,24,0.001
32,0.013138204389916999,0.01407993773619334,0.013835395773251852,24,0.001
33,0.013151469645755632,0.014087928632895153,0.013835395773251852,24,0.001
34,0.012935544728700604,0.014059821118911107,0.013835395773251852,24,0.001
35,0.013266239230121884,0.014081191172202428,0.013835395773251852,24,0.0005
36,0.013189275722418512,0.014081026141842206,0.013835395773251852,24,0.0005
37,0.013283446372619696,0.014086658159891765,0.013835395773251852,24,0.0005
38,0.013248401513057095,0.01406629780928294,0.013835395773251852,24,0.0005
39,0.013116471171379089,0.014068770334124564,0.013835395773251852,24,0.0005
40,0.013163688970463617,0.01407175103823344,0.013835395773251852,24,0.0005
41,0.013071275502443313,0.014073635886112849,0.013835395773251852,24,0.0005
42,0.013094050682016781,0.014112878466645877,0.013835395773251852,24,0.0005
43,0.013097362241574696,0.014040358463923137,0.013835395773251852,24,0.0005
44,0.013332769817539624,0.014044298554460207,0.013835395773251852,24,0.0005
45,0.013134977051189968,0.014094958553711573,0.013835395773251852,24,0.0005
46,0.013122287488409452,0.014086919873952865,0.013835395773251852,24,0.00025
47,0.013101900134767804,0.014093901465336482,0.013835395773251852,24,0.00025
48,0.013280903792807034,0.014085929145415624,0.013835395773251852,24,0.00025
49,0.013091761384691512,0.014084245264530181,0.013835395773251852,24,0.00025
50,0.013045940271445683,0.0140853463858366,0.013835395773251852,24,0.00025
51,0.013123605379036495,0.014088994686802228,0.013835395773251852,24,0.00025
52,0.013126892186701298,0.014078406194845836,0.013835395773251852,24,0.00025
53,0.0130678705232484,0.014084559778372446,0.013835395773251852,24,0.00025
54,0.013038997836411,0.014090890809893609,0.013835395773251852,24,0.00025
55,0.013375269238437924,0.014088364467024803,0.013835395773251852,24,0.00025
56,0.012937473367367471,0.014093617002169292,0.013835395773251852,24,0.00025
57,0.013174919081585747,0.014089758942524592,0.013835395773251852,24,0.000125
58,0.013006378396281174,0.014100611905256907,0.013835395773251852,24,0.000125
59,0.012915124435509955,0.014088126942515372,0.013835395773251852,24,0.000125
60,0.013122511836034911,0.014098847905794779,0.013835395773251852,24,0.000125
61,0.012902045233973435,0.014082400724291802,0.013835395773251852,24,0.000125
62,0.013005308572735106,0.014096877202391625,0.013835395773251852,24,0.000125
63,0.01332522406641926,0.014093466649452845,0.013835395773251852,24,0.000125
64,0.01317583010665008,0.014090173095464707,0.013835395773251852,24,0.000125
