model,universes,sample_standard_deviation_test_mae
EvolveGCN-H,20,0.005646644109230431
EvolveGCN-H,50,0.01755004238391055
EvolveGCN-H,100,0.02494611791433778
EvolveGCN-H,200,0.013588207385113769
EvolveGCN-H,500,0.009491620713372386
Static GCN,20,0.18953037583973692
Static GCN,50,0.03535255207680145
Static GCN,100,0.013953118031886095
Static GCN,200,0.013152478694036079
Static GCN,500,0.00952883606996369
