model,k,seed_count,mean_mae_h64_minus_h32,std_mae_h64_minus_h32,negative_count_favors_h64,positive_count_favors_h32,change_from_k4_mean_width_effect
EvolveGCN-H,4,3,0.0010651335451338044,0.002002005696124514,1,2,0.0
EvolveGCN-H,6,3,0.00047929657830132294,0.0004963191536622726,0,3,-0.0005858369668324814
EvolveGCN-H,8,3,-0.0003999185562133754,0.001607457158346134,2,1,-0.0014650521013471799
EvolveGCN-H,12,3,0.001271788544125028,0.0029040090640016676,2,1,0.00020665499899122364
Static GCN,4,3,0.0014632668760087796,0.002067562621082461,0,3,0.0
Static GCN,6,3,0.0016682247320810954,0.0010738184440370025,0,3,0.00020495785607231587
Static GCN,8,3,3.225154346890117e-05,0.0008036807282011555,1,2,-0.0014310153325398783
Static GCN,12,3,0.001987818744447497,0.002041470454210232,0,3,0.0005245518684387173
