universe_id,universe_index,omega_m,num_files,required_snapshots,enough_snapshots,snapshots,first_snapshot,last_snapshot,target_key,target_consistent,missing_target,target_in_expected_range,num_unique_targets_found,unique_targets_found,status,example_file,preprocessing_version_context,camels_box_size_context
LH_27,27,0.3818,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.3818,OK,LH_27_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_28,28,0.267,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.267,OK,LH_28_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_29,29,0.157,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.157,OK,LH_29_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_30,30,0.137,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.137,OK,LH_30_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_31,31,0.4978,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.4978,OK,LH_31_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_32,32,0.2998,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.2998,OK,LH_32_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_33,33,0.4778,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.4778,OK,LH_33_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_34,34,0.2538,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.2538,OK,LH_34_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_35,35,0.2726,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.2726,OK,LH_35_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_36,36,0.2894,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.2894,OK,LH_36_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
