seed,graph_pooling,test_mae
42,mean,0.05029454063716812
42,mean_max,0.09144933901690132
123,mean,0.052323977819722686
123,mean_max,0.07537395588645887
777,mean,0.06771104282407618
777,mean_max,0.09255385106030982
999,mean,0.046755118267749675
999,mean_max,0.0736487074129617
2025,mean,0.062130676795594135
2025,mean_max,0.07183962608154733
