graph_pooling,seed,universe_id,target,residual
mean,123,LH_694,0.44699999690055847,-0.07027995586395264
mean,123,LH_270,0.11659999936819077,0.06675279885530472
mean,123,LH_329,0.20499999821186066,0.015930846333503723
mean,123,LH_208,0.2937999963760376,0.034483522176742554
mean,123,LH_249,0.4666000008583069,-0.004446893930435181
mean,123,LH_518,0.3765999972820282,0.020353734493255615
mean,123,LH_630,0.3718000054359436,0.03126859664916992
mean,123,LH_95,0.17059999704360962,0.03209683299064636
mean,123,LH_738,0.38580000400543213,0.037331730127334595
mean,123,LH_230,0.10300000011920929,-0.014208242297172546
mean,123,LH_588,0.3553999960422516,0.03420516848564148
mean,123,LH_558,0.33820000290870667,0.0364898145198822
mean,123,LH_107,0.4185999929904938,-0.05271449685096741
mean,123,LH_512,0.4205999970436096,0.08128625154495239
mean,123,LH_704,0.4681999981403351,-0.10473048686981201
mean,123,LH_140,0.3725999891757965,0.08179154992103577
mean,123,LH_527,0.3853999972343445,0.11288699507713318
mean,123,LH_584,0.16220000386238098,0.15883386135101318
mean,123,LH_332,0.3353999853134155,-0.03689652681350708
mean,123,LH_703,0.1777999997138977,0.06964883208274841
mean,123,LH_162,0.47380000352859497,0.10087674856185913
mean,123,LH_28,0.2669999897480011,0.003673076629638672
mean,123,LH_439,0.4957999885082245,-0.02299240231513977
mean,123,LH_311,0.10859999805688858,0.08201544731855392
mean,123,LH_461,0.4410000145435333,-0.12353143095970154
mean,123,LH_460,0.1469999998807907,0.030023306608200073
mean,123,LH_357,0.3970000147819519,0.02740579843521118
mean,123,LH_633,0.3962000012397766,-0.05854499340057373
mean,123,LH_465,0.2985999882221222,-0.009407788515090942
mean,123,LH_139,0.41819998621940613,0.0033216774463653564
mean,123,LH_63,0.14180000126361847,0.0856761485338211
mean,123,LH_442,0.4733999967575073,-0.1478460431098938
mean,123,LH_395,0.46219998598098755,0.026346713304519653
mean,123,LH_170,0.35580000281333923,0.016538143157958984
mean,123,LH_122,0.3001999855041504,0.03502917289733887
mean,123,LH_529,0.48539999127388,-0.05353653430938721
mean,123,LH_671,0.4325999915599823,0.14647987484931946
mean,123,LH_547,0.1809999942779541,0.049910515546798706
mean,123,LH_714,0.4869999885559082,-0.011037886142730713
mean,123,LH_377,0.18780000507831573,0.06823863089084625
mean,123,LH_398,0.13459999859333038,0.08599406480789185
mean,123,LH_712,0.18019999563694,-0.10606464743614197
mean,123,LH_149,0.10899999737739563,0.050512656569480896
mean,123,LH_313,0.1242000013589859,0.031240656971931458
mean,123,LH_550,0.453000009059906,0.055613577365875244
mean,123,LH_666,0.42340001463890076,0.12299802899360657
mean,123,LH_531,0.17260000109672546,0.06533004343509674
mean,123,LH_58,0.19140000641345978,0.05981041491031647
mean,123,LH_80,0.4546000063419342,-0.0045070648193359375
mean,123,LH_240,0.24379999935626984,0.015213176608085632
mean,123,LH_381,0.4390000104904175,-0.08005979657173157
mean,123,LH_147,0.35019999742507935,-0.013693541288375854
mean,123,LH_65,0.2921999990940094,0.02809002995491028
mean,123,LH_716,0.131400004029274,0.06596000492572784
mean,123,LH_729,0.42419999837875366,0.22505944967269897
mean,123,LH_24,0.19660000503063202,0.049502551555633545
mean,123,LH_356,0.15299999713897705,-0.044677749276161194
mean,123,LH_424,0.2085999995470047,0.008811861276626587
mean,123,LH_672,0.22300000488758087,0.03783540427684784
mean,123,LH_740,0.17100000381469727,0.017388567328453064
mean,123,LH_33,0.47780001163482666,0.0735853910446167
mean,123,LH_483,0.30379998683929443,0.0031221508979797363
mean,123,LH_674,0.4790000021457672,-0.01931178569793701
mean,123,LH_330,0.4758000075817108,-0.01858958601951599
mean,123,LH_29,0.15700000524520874,0.1100073754787445
mean,123,LH_413,0.27300000190734863,0.07596582174301147
mean,123,LH_559,0.39340001344680786,0.05316662788391113
mean,123,LH_668,0.31859999895095825,0.05104410648345947
mean,123,LH_724,0.16619999706745148,0.06478667259216309
mean,123,LH_548,0.17419999837875366,0.05205687880516052
mean,123,LH_8,0.4018000066280365,-0.006435096263885498
mean,123,LH_443,0.36660000681877136,0.010394483804702759
mean,123,LH_677,0.21220000088214874,0.05916719138622284
mean,123,LH_679,0.31940001249313354,0.00024902820587158203
mean,123,LH_363,0.47859999537467957,0.023774653673171997
mean,123,LH_681,0.3142000138759613,0.010088145732879639
mean,123,LH_64,0.17739999294281006,0.016120970249176025
mean,123,LH_111,0.3986000120639801,-0.03932628035545349
mean,123,LH_0,0.1462000012397766,0.039890438318252563
mean,123,LH_430,0.20900000631809235,0.015148773789405823
mean,123,LH_691,0.40139999985694885,-0.02921310067176819
mean,123,LH_278,0.15780000388622284,0.06178863346576691
mean,123,LH_656,0.460999995470047,-0.07683020830154419
mean,123,LH_262,0.2766000032424927,-0.04882550239562988
mean,123,LH_713,0.4498000144958496,-0.023151546716690063
mean,123,LH_197,0.23579999804496765,0.030180424451828003
mean,123,LH_667,0.1826000064611435,0.08156545460224152
mean,123,LH_137,0.3709999918937683,-0.007362544536590576
mean,123,LH_10,0.16019999980926514,0.11848223209381104
mean,123,LH_45,0.3181999921798706,0.10169574618339539
mean,123,LH_472,0.3601999878883362,-0.008718878030776978
mean,123,LH_387,0.4041999876499176,-0.04372796416282654
mean,123,LH_455,0.16820000112056732,-0.03322668373584747
mean,123,LH_741,0.33340001106262207,0.08069553971290588
mean,123,LH_157,0.22020000219345093,-0.01667448878288269
mean,123,LH_181,0.387800008058548,0.11590072512626648
mean,123,LH_495,0.20020000636577606,0.007089480757713318
mean,123,LH_557,0.33059999346733093,0.02031800150871277
mean,123,LH_238,0.33180001378059387,-0.027749210596084595
mean,123,LH_645,0.31700000166893005,0.09621202945709229
mean,123,LH_506,0.3294000029563904,0.08852958679199219
mean,123,LH_294,0.2558000087738037,-0.042405351996421814
mean,123,LH_61,0.17499999701976776,0.14801909029483795
mean,123,LH_513,0.2029999941587448,0.08072640001773834
mean,123,LH_544,0.42500001192092896,-0.08278435468673706
mean,123,LH_415,0.44620001316070557,-0.04049873352050781
