graph_pooling,seed,universe_id,target,prediction
mean,123,LH_694,0.44699999690055847,0.37672004103660583
mean,123,LH_270,0.11659999936819077,0.18335279822349548
mean,123,LH_329,0.20499999821186066,0.22093084454536438
mean,123,LH_208,0.2937999963760376,0.32828351855278015
mean,123,LH_249,0.4666000008583069,0.4621531069278717
mean,123,LH_518,0.3765999972820282,0.3969537317752838
mean,123,LH_630,0.3718000054359436,0.4030686020851135
mean,123,LH_95,0.17059999704360962,0.20269683003425598
mean,123,LH_738,0.38580000400543213,0.4231317341327667
mean,123,LH_230,0.10300000011920929,0.08879175782203674
mean,123,LH_588,0.3553999960422516,0.38960516452789307
mean,123,LH_558,0.33820000290870667,0.37468981742858887
mean,123,LH_107,0.4185999929904938,0.36588549613952637
mean,123,LH_512,0.4205999970436096,0.501886248588562
mean,123,LH_704,0.4681999981403351,0.36346951127052307
mean,123,LH_140,0.3725999891757965,0.4543915390968323
mean,123,LH_527,0.3853999972343445,0.49828699231147766
mean,123,LH_584,0.16220000386238098,0.32103386521339417
mean,123,LH_332,0.3353999853134155,0.29850345849990845
mean,123,LH_703,0.1777999997138977,0.24744883179664612
mean,123,LH_162,0.47380000352859497,0.5746767520904541
mean,123,LH_28,0.2669999897480011,0.27067306637763977
mean,123,LH_439,0.4957999885082245,0.4728075861930847
mean,123,LH_311,0.10859999805688858,0.1906154453754425
mean,123,LH_461,0.4410000145435333,0.3174685835838318
mean,123,LH_460,0.1469999998807907,0.17702330648899078
mean,123,LH_357,0.3970000147819519,0.4244058132171631
mean,123,LH_633,0.3962000012397766,0.3376550078392029
mean,123,LH_465,0.2985999882221222,0.28919219970703125
mean,123,LH_139,0.41819998621940613,0.4215216636657715
mean,123,LH_63,0.14180000126361847,0.22747614979743958
mean,123,LH_442,0.4733999967575073,0.3255539536476135
mean,123,LH_395,0.46219998598098755,0.4885466992855072
mean,123,LH_170,0.35580000281333923,0.3723381459712982
mean,123,LH_122,0.3001999855041504,0.33522915840148926
mean,123,LH_529,0.48539999127388,0.4318634569644928
mean,123,LH_671,0.4325999915599823,0.5790798664093018
mean,123,LH_547,0.1809999942779541,0.2309105098247528
mean,123,LH_714,0.4869999885559082,0.4759621024131775
mean,123,LH_377,0.18780000507831573,0.256038635969162
mean,123,LH_398,0.13459999859333038,0.22059406340122223
mean,123,LH_712,0.18019999563694,0.07413534820079803
mean,123,LH_149,0.10899999737739563,0.15951265394687653
mean,123,LH_313,0.1242000013589859,0.15544065833091736
mean,123,LH_550,0.453000009059906,0.5086135864257812
mean,123,LH_666,0.42340001463890076,0.5463980436325073
mean,123,LH_531,0.17260000109672546,0.2379300445318222
mean,123,LH_58,0.19140000641345978,0.25121042132377625
mean,123,LH_80,0.4546000063419342,0.45009294152259827
mean,123,LH_240,0.24379999935626984,0.25901317596435547
mean,123,LH_381,0.4390000104904175,0.3589402139186859
mean,123,LH_147,0.35019999742507935,0.3365064561367035
mean,123,LH_65,0.2921999990940094,0.3202900290489197
mean,123,LH_716,0.131400004029274,0.19736000895500183
mean,123,LH_729,0.42419999837875366,0.6492594480514526
mean,123,LH_24,0.19660000503063202,0.24610255658626556
mean,123,LH_356,0.15299999713897705,0.10832224786281586
mean,123,LH_424,0.2085999995470047,0.2174118608236313
mean,123,LH_672,0.22300000488758087,0.2608354091644287
mean,123,LH_740,0.17100000381469727,0.18838857114315033
mean,123,LH_33,0.47780001163482666,0.5513854026794434
mean,123,LH_483,0.30379998683929443,0.30692213773727417
mean,123,LH_674,0.4790000021457672,0.4596882164478302
mean,123,LH_330,0.4758000075817108,0.4572104215621948
mean,123,LH_29,0.15700000524520874,0.26700738072395325
